n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.053754	1.146701	0	4.4721	0	0	2	2.4495	2.6458	3	3	3.7417	3.7417	4.2426	4.4721	4.4721	4.4721
5	4.994801	1.347178	0	7.4833	2	3	3.4641	3.7417	4.2426	4.6904	5.1962	5.5678	5.9161	6.0828	6.7823	7.0711	7.3485
6	7.08866	1.723638	0	11.0454	3.4641	4.2426	4.6904	5.5678	6.0828	6.6332	7.2111	7.6158	8.124	8.544	9.2195	9.8489	10.0995
7	9.326861	1.989388	3.873	14.7648	5.1962	6	6.7082	7.5498	8.2462	8.775	9.3274	10	10.5357	11.0905	11.7898	12.49	13
8	11.80471	2.629016	5	18.1934	6.5574	7.6811	8.3666	9.434	10.3441	11	11.7047	12.4499	13.3417	14.2127	15.3948	16	16.7332
9	14.48097	3.047403	6.1644	22.4277	8.775	9.6954	10.7238	11.8322	12.6095	13.4164	14.2127	15.3297	16.1555	17.2916	18.5472	19.5959	20.2485
10	17.16972	3.52067	8.4261	27.8927	10.247	11.6619	12.6095	14	15.1327	16.0624	17.088	18	19.0263	20.0998	21.9773	23.1301	24.0208
11	20.56434	4.195185	9.6437	34.4384	12.7671	14.0357	15	16.7929	18.0831	19.2873	20.5183	21.4942	22.8254	24.3105	26.3059	27.6586	28.4956
12	23.56164	4.771659	11.7473	40.2616	15.0665	16.1555	17.4642	19.2614	20.7846	22	23.2809	24.4949	26.0576	27.5862	29.9333	32.218	33.0303
13	26.71227	5.486528	14.6629	43.4511	17.088	18.303	19.799	21.7945	23.5372	24.9399	26.2107	27.8209	29.3769	31.4643	34.2491	36.5923	38.0263
14	30.51163	6.344726	16.3401	49.7795	19.2354	20.8327	22.4944	24.7588	26.6458	28.3373	30.133	31.9374	33.8378	36.0832	39.3573	41.3763	42.8602
15	33.86985	7.130078	16.8819	54.5527	20.9284	22.9347	24.9199	27.1109	29.7321	31.686	33.5857	35.4824	37.3898	40.2865	43.2897	46.2277	48.4665
16	37.19394	7.565511	20.6398	57.7321	23.5584	25.4951	27.4773	30.1828	32.7719	34.7994	36.8375	38.9615	40.9512	43.566	47.5079	50.8527	52.0481
17	41.33654	8.73445	22.3159	73.7157	26.5141	28.3901	30.6594	33.3017	35.805	38.0657	40.5216	43.0697	45.6837	49.1833	52.6972	56.542	59.2368
18	45.19955	9.590452	24.9199	75.7298	28.688	31.1609	33.5708	36.5923	39.1024	41.7133	44.238	46.5618	50.1498	53.7215	57.8187	62.3538	64.591
19	49.24897	10.65531	25.1794	85.3874	30.0167	33.7046	35.7631	39.8873	42.6263	45.6289	48.5386	51.264	54.3047	58.3781	63.206	67.424	70.7884
20	54.32649	11.88844	29.5804	95.7079	34.1467	36.3318	39.8873	43.4051	46.9148	49.8096	52.8488	56.7891	60.6795	64.6375	70.4911	74.8532	78.1025
21	57.76873	12.5595	33.0303	109.7224	36.7151	39.6358	42.0357	46.6369	50.1398	53.1601	56.6304	59.808	63.6082	68.6877	74.9867	79.643	81.8963
22	62.7545	13.98728	31.3847	118.1186	39.5601	42.5441	45.7275	50.7247	54.2125	57.2364	60.9426	65.0231	69.6348	74.9266	81.4494	87.818	91.7442
23	67.52291	14.6736	35.4542	124.7798	42.8369	46.2385	49.3153	54.8179	59.0254	62.1128	65.6887	70.342	74.5386	79.4355	87.241	94.0479	97.5038
24	71.89145	14.75746	41.4849	130.7937	45.793	49.2341	54.0555	59.1016	62.9603	66.7008	70.5266	74.29	78.9557	84.2259	92.7362	97.6576	99.8499
25	75.96989	16.86602	36.0555	142.5517	46.7654	50.9706	55.4437	61.4166	66.1211	70.1498	74.3774	78.5748	83.8451	89.7719	96.8297	105.693	112.7519
26	81.57468	18.09756	44.0114	161.2576	50.2991	54.4059	59.1523	65.6201	70.4769	74.9733	80.2621	84.7526	89.9889	97.9337	105.5794	112.8229	115.9741
27	86.86374	19.79159	45.3321	148.7279	54.2679	59.5651	62.7774	68.7968	74.8331	79.5236	84.5695	89.6437	95.9844	103.2231	114.0482	122.9309	130.8854
28	91.61453	20.58906	47.9687	170.8391	56.6127	60.4566	65.6734	73.4234	79.1581	84.841	90.5373	95.5981	100.9455	108.282	119.9625	129.0116	135.2738
29	97.32891	22.00808	50.3587	184.67	61.5224	65.7039	70.9577	77.3692	83.2586	89.1347	94.9052	101.262	106.9299	115.5119	127.236	137.9819	143.2166
30	101.9755	22.77692	53.1225	176.5276	61.6198	69.0362	73.8241	82.1706	88.1873	94.1541	99.3328	105.3423	112.7785	121.1776	133.6825	144.3814	149.0973
31	107.4409	24.59555	53.3948	194.7794	65.7571	72.4776	77.3886	85.8953	91.8967	98.209	104.9143	112.3699	118.5453	129.0271	141.9859	151.0828	157.3817
32	113.702	24.83626	57.2626	208.3075	72.2703	77.3886	83.6301	91.7006	98.7218	104.3983	110.6571	118.1482	126.5543	134.6365	146.8196	157.4008	164.6147
33	118.2896	26.63139	57.3672	226.5392	73.8444	79.1075	85.5745	94.7101	101.6612	108.9449	116.4775	123.5799	130.6139	139.7426	154.9548	164.2742	173.7182
34	124.3048	29.0753	59.925	225.4396	77.846	84.2615	89.6437	98.5393	106.2638	112.9425	120.4326	128.1171	137.3317	147.7735	164.3989	178.9637	188.9974
35	130.1161	30.98392	62.2254	248.1935	76.5441	85.4517	93.4826	104.6566	112.1026	118.7645	125.6384	132.9737	143.6976	154.6124	172.0552	188.4516	197.6133
36	135.9542	32.55653	69.1375	290.5151	81.5414	91.0165	97.206	107.443	116.4002	124.0242	132.9511	141.1418	151.2481	160.4182	177.8932	196.1428	203.5559
37	144.0657	32.67887	71.3583	285.0789	88.7975	95.9635	103.3344	115.5422	124.6315	132.2687	141.7568	149.3151	159.9594	171.5343	188.5259	200.8905	210.4566
38	146.6039	34.11314	75.2197	282.4341	88.5438	96.3224	105.5036	117.1879	125.7338	134.0224	143.6419	152.1972	161.2483	173.2772	191.1361	206.2717	221.6574
39	154.4916	35.83782	82.7949	306.4963	94.6995	105.6882	112.4055	123.2599	132.1628	141.1807	151.3935	159.9844	168.9053	182.6855	202.682	217.2349	227.9035
40	161.2296	39.15396	84.5872	301.7549	98.2599	106.5833	115.2042	127.0236	137.9601	147.068	156.2274	166.3611	177.0254	189.6998	213.0469	234.7552	250.6551
41	167.3914	40.29365	82.9759	318.5122	100.995	108.6876	119.5031	133.6899	142.7025	153.0131	162.0525	173.1213	184.1603	200.8158	223	240.8859	257.5364
42	176.2481	40.25983	87.264	324.9492	106.1555	118.8823	127.5147	141.3365	151.7959	161.6911	171.6654	181.2953	193.8943	208.3771	231.2185	252.3311	262.9658
43	180.5412	42.45723	91.3072	345.0348	110.2905	118.558	128.1913	142.7936	155.0516	166.8023	175.5164	186.9224	200.14	215.773	234.7914	256.965	271.1015
44	185.9131	45.23519	88.651	366.3496	107.9768	119.4697	132.7215	147.3194	158.3351	168.6891	181.2071	194.5431	204.9097	223.0067	247.4167	264.3274	280.6671
45	191.5971	44.09623	90.2774	385.0221	116.619	126	138.2823	153.4796	165.0576	175.4252	187.4273	199.4593	211.0071	228.0132	251.5611	270.0389	284.9246
46	202.0617	49.23707	88.21	415.869	116.0905	132.9662	143.0629	157.1814	171.808	185.5101	198.2145	209.3275	224.5262	245.9858	266.97	290.5219	302.6665
47	206.508	50.27329	92.3634	471.7838	123.6366	132.5179	146.581	162.7206	176.5559	188.372	201.6358	214.3432	229.8282	245.5748	272.1727	299.214	315.9177
48	214.2926	51.56891	105.8112	431.3456	136.6711	144.7446	154.8386	167.9315	181.5351	194.309	206.589	220.9253	236.125	253.7873	286.8676	312.2083	327.6339
49	219.1421	53.67425	116.5461	454.1828	131.4762	144.1978	157.2132	172.4384	185.4292	197.208	211.4592	226.967	242.1095	264.3312	290.5392	321.9317	335.5428
50	228.9633	55.3189	114.7606	478.7129	137.5318	152.1282	164.724	182.044	195.8137	208.3915	221.61	236.5946	253.6986	272.705	299.3276	328.291	347.0029
51	236.1878	55.06512	111.5751	432.8845	141.1595	154.7837	166.1385	187.7818	202.566	218.7967	231.4044	245.819	260.1288	281.9486	309.8064	333.8697	352.2329
52	238.4671	56.86032	126.1428	438.7209	147.0136	158.1613	168.7809	187.9761	203.8627	216.303	230.6664	246.7043	262.5928	287.7673	318.2798	341.3444	361.6849
53	250.1119	61.92727	119.7372	549.6826	150.1	164.1676	179.2373	198.0227	213.9953	226.5127	242.2168	259.1447	273.6823	294.6846	333.5686	369.3697	388.5306
54	255.421	62.93845	124.507	486.4124	151.4794	166.5383	181.3119	201.1741	213.979	230.7574	248.5518	267.1816	284.6963	306.5665	340.5319	368.9404	388.982
55	265.2544	64.55979	121.7744	515.1223	154.3243	172.479	187.4753	208.012	227.1101	243.3331	259.7518	274.6361	294.0034	317.3563	351.0997	376.8567	398.985
56	272.1267	65.44923	139.807	536.8054	160.5833	178.9302	193.4347	213.8528	231.0433	248.3687	265.1396	284.1584	301.7582	323.6572	357.8393	387.0788	406.8476
