n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.385	1.348552	0	6	0	2	2	2	3	3	3	4	4	4	6	6	6
5	5.942	1.708085	0	10	2	3	4	4	6	6	6	6	6	7	8	8	10
6	9.156	2.311495	0	16	4	5	6	7	8	9	9	10	10	11	12	13	13
7	12.669	2.896175	4	22	7	8	9	10	11	12	13	14	14	15	16	18	18
8	17.018	3.125611	6	28	11	12	13	14	15	16	17	18	18	20	21	22	23
9	21.34	3.860739	10	34	14	15	16	18	19	20	21	22	23	24	26	28	28
10	26.439	4.476418	12	43	17	19	21	23	24	25	26	27	28	30	32	34	36
11	31.952	4.912416	17	48	22	24	26	28	29	31	32	33	34	36	38	40	41
12	37.811	5.661566	17	58	26	29	31	33	35	36	38	39	41	42	45	47	49
13	44.103	6.360412	26	65	32	34	36	39	41	42	44	45	47	49	53	56	57
14	50.453	6.98961	29	75	37	39	42	44	47	48	50	52	54	56	60	62	64
15	57.459	7.953086	36	86	42	45	48	51	53	55	57	59	61	64	68	71	74
16	64.565	8.478541	37	98	47	51	54	58	60	62	64	67	69	71	75	79	81
17	72.692	9.494592	44	103	55	58	61	65	67	70	72	74	77	81	86	90	91
18	80.419	10.02996	51	120	62	65	68	72	75	77	80	82	85	89	94	98	102
19	88.873	11.50309	58	137	67	72	75	79	82	85	88	91	94	98	104	109	113
20	97.282	11.92932	67	152	74	79	83	87	91	94	96	99	103	106	112	118	122
21	105.773	12.57130	65	160	82	87	91	96	99	102	105	108	112	116	122	127	131
22	115.811	14.46847	64	174	88	94	99	104	107	111	115	119	122	127	136	141	144
23	123.935	14.83836	84	188	95	101	106	111	116	120	123	127	131	135	143	150	155
24	135.39	16.63083	88	199	104	111	115	121	126	130	134	138	143	149	159	165	168
25	144.318	17.50815	91	220	113	118	123	130	135	138	142	147	152	158	168	175	181
26	156.411	19.29882	111	244	122	127	134	141	146	150	155	159	164	172	180	192	197
27	164.535	19.97262	114	239	129	135	141	147	152	158	162	168	174	180	191	201	206
28	175.754	20.26184	126	239	134	144	150	159	165	170	175	180	185	192	202	210	215
29	186.679	21.15948	128	266	145	154	162	168	175	181	185	190	196	204	215	222	230
30	198.065	23.22133	140	296	156	164	170	178	184	190	197	202	209	216	229	239	245
31	210.203	25.23642	151	304	165	173	181	189	196	202	208	214	221	230	243	257	264
32	221.96	26.33503	158	354	178	184	191	199	207	213	219	226	234	243	257	266	279
33	233.191	26.74015	154	341	187	194	201	210	218	225	230	238	245	255	267	280	290
34	246.61	30.09212	156	409	196	205	211	221	229	236	243	251	260	270	287	299	309
35	259.184	30.23558	189	398	208	216	224	233	241	248	256	263	272	283	299	318	327
36	271.644	32.41768	188	394	216	222	232	243	253	262	270	277	285	298	312	329	342
37	285.754	32.66142	208	400	224	237	244	257	267	276	283	293	301	311	327	343	354
38	296.189	32.90094	215	419	240	248	258	267	276	285	293	302	311	322	343	354	362
39	312.143	35.91089	217	503	248	260	270	283	293	301	309	317	328	339	356	375	387
40	327.512	38.82421	228	472	258	271	281	295	305	315	324	333	344	360	380	397	409
41	339.771	37.7984	247	504	271	283	296	308	318	326	337	346	356	370	388	407	422
42	351.816	39.78461	259	504	283	292	304	318	329	337	348	358	370	384	405	424	434
43	367.364	42.09512	271	572	295	306	317	334	343	352	363	373	385	400	424	441	457
44	383.763	45.60637	272	562	302	319	330	345	357	368	379	392	405	421	443	464	481
45	397.702	44.64451	292	551	320	333	345	360	372	382	392	403	416	431	459	484	497
46	412.816	47.82252	288	593	331	344	356	373	383	395	408	421	435	450	476	499	511
47	427.415	50.20055	295	661	337	354	369	385	398	410	423	436	451	468	490	512	538
48	442.834	49.86509	312	694	358	370	383	399	413	425	438	450	464	484	511	530	542
49	459.005	52.44154	339	740	370	383	397	416	429	442	453	465	482	498	523	551	569
50	478.579	55.06832	338	700	382	397	412	432	448	460	471	486	504	522	553	582	598
51	487.405	56.08037	357	730	393	405	421	437	454	468	483	496	512	531	563	588	611
52	505.911	57.09272	370	763	408	424	440	459	472	487	500	513	530	549	581	610	625
53	521.105	60.498	381	772	416	432	448	471	485	499	514	532	547	569	600	630	649
54	540.924	62.67932	398	801	434	448	465	488	507	519	536	549	567	589	623	650	664
55	557.099	66.42466	413	835	446	467	478	503	521	533	547	562	581	605	648	685	710
56	575.886	69.7842	407	864	461	479	493	516	534	552	570	585	606	630	663	700	734
57	592.536	66.97054	435	1000	473	495	514	537	555	571	586	603	620	644	675	708	740
58	606.142	68.67544	436	862	494	509	525	547	563	583	598	614	638	658	699	730	756
59	628.609	72.07354	448	981	509	525	542	570	585	601	619	639	662	688	726	751	777
60	643.858	75.3149	480	997	511	535	555	581	601	619	636	652	675	702	738	784	823
61	659.09	78.86724	458	1025	526	549	570	595	613	630	647	668	690	719	767	807	834
62	679.918	76.96761	501	958	546	567	588	613	633	653	672	692	715	743	783	819	840
63	695.396	81.53626	513	1031	560	577	601	629	649	666	682	705	729	760	801	840	873
64	716.19	86.9059	514	1140	574	595	615	642	662	686	706	729	750	786	834	875	895
65	734.486	79.88879	544	1103	595	619	635	668	690	708	726	748	770	798	838	871	897
66	754.743	86.1661	560	1099	607	632	654	683	703	727	744	763	790	823	868	915	949
67	768.849	86.19866	548	1334	610	643	664	696	722	744	763	783	804	833	874	919	946
68	794.55	95.7085	579	1210	634	655	682	713	740	764	784	806	834	865	928	974	1005
69	807.797	91.33974	590	1236	655	681	701	729	752	776	793	820	847	882	932	972	997
70	829.438	97.62364	585	1295	665	694	718	748	771	794	816	843	869	906	958	1013	1039
71	854.854	103.6784	603	1316	684	714	740	769	794	818	842	866	893	930	985	1053	1097
72	867.797	101.2995	620	1265	700	719	751	781	808	832	854	881	913	946	1004	1048	1090
73	888.502	104.4288	671	1324	712	740	767	797	822	851	876	902	937	973	1030	1074	1109
74	905.821	105.2614	685	1356	725	755	783	816	842	869	894	922	951	988	1038	1114	1144
75	925.813	104.3750	675	1341	751	770	803	835	866	890	915	942	973	1009	1064	1097	1137
76	945.713	105.244	689	1325	762	792	817	854	884	909	934	964	996	1030	1084	1132	1172
77	970.946	109.9303	680	1415	789	817	843	875	907	934	959	985	1018	1055	1115	1176	1214
78	991.885	117.2705	715	1670	799	825	857	898	926	950	977	1007	1037	1081	1150	1201	1238
79	1016.808	118.3676	760	1492	811	843	873	918	949	974	1004	1039	1071	1108	1170	1235	1257
80	1034.282	119.8992	724	1527	823	859	889	928	964	998	1029	1055	1092	1128	1186	1233	1281
81	1057.737	124.2299	793	1610	872	891	920	951	980	1009	1038	1068	1103	1155	1221	1295	1343
82	1068.411	121.3377	802	1553	862	896	930	970	994	1024	1051	1081	1124	1161	1226	1286	1345
83	1096.395	135.0739	785	1743	871	901	938	986	1018	1055	1084	1111	1146	1194	1277	1329	1382
84	1118.115	127.9971	813	1692	897	935	962	1006	1047	1077	1105	1135	1172	1219	1289	1335	1396
85	1143.34	131.1124	857	1717	934	961	996	1039	1065	1098	1127	1156	1195	1234	1323	1383	1438
86	1160.869	132.6604	866	1724	937	972	1009	1051	1082	1111	1144	1178	1212	1266	1335	1408	1450
87	1184.483	134.7025	849	1814	950	993	1030	1075	1110	1133	1165	1202	1239	1286	1359	1437	1477
88	1199.878	139.7452	865	1802	963	1004	1033	1082	1116	1147	1185	1219	1262	1314	1382	1455	1498
89	1227.686	143.3395	860	1853	975	1019	1060	1109	1148	1180	1211	1244	1289	1341	1407	1474	1516
90	1247.759	147.9806	884	2006	1015	1043	1080	1123	1162	1197	1232	1267	1306	1351	1428	1507	1564
91	1273.63	141.2059	890	1995	1028	1071	1108	1157	1187	1222	1258	1293	1334	1389	1462	1521	1559
92	1290.931	150.4004	960	1960	1041	1082	1118	1173	1206	1232	1274	1306	1343	1400	1489	1568	1613
93	1320.983	157.7213	897	2108	1043	1096	1136	1190	1231	1271	1304	1341	1390	1441	1515	1589	1652
94	1337.112	155.1226	929	2049	1063	1128	1167	1207	1244	1280	1319	1354	1398	1456	1539	1627	1663
95	1368.183	156.0439	993	2091	1103	1148	1183	1236	1277	1313	1352	1385	1439	1485	1581	1638	1686
96	1403.719	164.1486	1006	2164	1124	1178	1214	1265	1310	1346	1383	1427	1471	1528	1616	1709	1783
97	1417.411	159.6119	1008	2214	1154	1192	1238	1287	1324	1359	1395	1433	1480	1539	1637	1705	1757
98	1445.224	163.3263	1058	2513	1173	1216	1252	1309	1347	1389	1425	1464	1514	1573	1673	1737	1794
99	1456.053	166.5538	979	2388	1174	1226	1266	1325	1364	1396	1436	1478	1521	1574	1668	1760	1828
100	1485.56	171.6729	1005	2129	1200	1236	1279	1342	1381	1424	1467	1515	1561	1622	1718	1790	1859
101	1507.632	170.172	1098	2491	1207	1256	1301	1364	1410	1445	1491	1538	1582	1635	1737	1803	1865
102	1533.339	184.4084	1151	2350	1226	1279	1317	1387	1431	1471	1509	1549	1604	1659	1757	1869	1933
103	1565.079	179.1364	1127	2343	1256	1307	1352	1419	1456	1504	1545	1588	1645	1706	1810	1895	1954
104	1579.908	177.0187	1136	2288	1275	1309	1373	1429	1475	1518	1565	1613	1660	1723	1806	1882	1961
105	1613.003	182.6049	1121	2218	1316	1356	1403	1456	1499	1539	1589	1641	1693	1761	1859	1961	2025
106	1625.898	185.4464	1187	2546	1314	1369	1406	1468	1515	1558	1605	1654	1707	1772	1866	1978	2021
107	1663.085	193.1431	1126	2445	1325	1382	1434	1504	1555	1598	1642	1683	1741	1814	1913	2006	2078
