n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.254	0.9297034	0	4	0	1	1	1	2	2	2	3	3	3	3	3	4
5	4.496	1.352706	0	7	1	2	3	3	4	4	5	5	5	6	6	6	6
6	7.538	1.825346	0	11	3	4	5	6	7	7	8	8	9	9	10	10	10
7	11.18	2.376815	2	16	5	6	8	9	10	11	12	12	13	13	14	14	15
8	15.924	2.651274	6	21	9	11	12	14	15	16	16	17	18	18	19	19	20
9	20.92	3.300681	7	27	12	14	16	18	20	21	22	22	23	24	24	25	26
10	27.051	3.688089	11	35	17	20	22	24	26	27	28	28	29	30	31	32	32
11	34.058	4.020049	17	42	24	26	29	31	33	34	35	36	37	38	39	39	40
12	41.743	4.807084	12	52	30	33	35	38	40	41	42	43	45	46	47	48	49
13	50.077	5.322349	30	61	37	40	43	46	48	50	51	52	53	55	56	57	58
14	59.06	5.585481	37	72	44	48	52	55	57	58	60	61	62	64	66	66	67
15	69.368	6.213629	44	84	54	58	61	65	67	69	70	72	73	75	77	78	79
16	80.04	6.954334	41	93	61	67	71	75	77	80	81	82	84	86	88	89	90
17	91.994	7.260763	53	109	73	78	83	87	89	91	93	94	96	98	100	102	103
18	104.008	7.935673	68	123	84	89	94	98	101	103	105	107	109	111	113	115	116
19	117.782	8.675583	85	140	97	102	106	111	114	117	119	121	123	125	128	130	131
20	131.567	9.694921	90	155	105	114	119	124	128	131	133	135	137	139	143	144	146
21	146.383	10.1385	107	172	121	127	133	138	142	146	148	150	152	155	158	161	162
22	161.926	11.2939	94	188	133	141	147	154	158	161	163	166	169	171	174	177	179
23	178.639	11.39485	128	204	150	158	164	170	174	177	180	183	185	188	192	195	196
24	195.919	11.93595	145	223	166	175	180	187	190	194	197	200	203	206	210	213	215
25	214.378	12.52717	158	243	184	192	198	204	209	212	216	218	222	225	229	232	233
26	233.438	13.26311	179	262	198	209	216	223	228	231	235	238	241	244	250	253	255
27	252.726	14.45628	188	285	216	227	233	242	247	250	254	257	261	265	270	274	276
28	273.43	15.19579	186	308	237	246	253	262	267	271	275	279	283	287	291	295	298
