n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	1.378	0.9262688	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2
5	2.639	0.9410444	0	4	0	0	2	2	2	3	3	3	3	3	4	4	4
6	5.119	1.398855	0	7	2	3	3	4	4	5	6	6	6	6	6	7	7
7	7.492	1.612618	2	10	3	4	5	6	7	7	8	8	9	9	9	10	10
8	10.956	2.014975	2	16	6	7	8	9	10	11	11	12	12	13	13	14	14
9	14.43	2.309206	3	19	9	10	11	13	13	14	15	15	16	16	17	18	18
10	18.67	2.782237	6	26	12	14	15	16	17	18	19	20	20	21	22	22	23
11	22.79	3.119235	10	32	16	17	19	20	21	22	23	24	25	25	26	27	28
12	27.947	3.54468	14	38	19	22	24	25	26	27	28	29	30	31	32	33	34
13	33.085	3.865322	19	45	25	26	28	30	31	32	33	34	35	36	38	39	40
14	38.731	4.487848	23	51	29	31	33	35	36	38	39	40	41	42	44	46	47
15	44.498	4.841636	26	60	34	37	38	41	42	44	45	46	47	48	51	52	53
16	50.713	5.583889	26	66	39	42	44	46	48	50	51	52	54	55	58	60	61
17	57.344	6.173474	32	75	45	47	49	52	54	56	57	59	60	63	65	67	69
18	64.403	6.900015	39	85	50	53	56	59	61	62	65	66	68	70	73	75	77
19	71.286	7.059748	45	96	56	60	63	66	67	69	71	73	75	77	80	82	85
20	78.792	7.947698	56	105	62	66	69	72	74	77	79	81	83	85	89	92	94
21	86.688	8.480482	60	113	70	73	76	80	82	84	86	88	91	94	98	100	103
22	94.851	9.4073	65	129	76	81	83	87	89	92	94	97	100	103	107	111	113
23	102.474	9.690368	76	131	82	87	90	94	97	100	102	105	108	111	115	119	120
24	111.316	10.88847	78	144	88	94	98	102	105	108	111	114	117	121	126	129	131
25	120.417	11.40321	83	158	96	102	106	111	115	118	120	123	126	130	135	140	142
26	129.09	11.49409	94	170	106	110	114	119	123	126	128	132	135	139	144	148	151
27	137.897	12.33826	103	177	114	119	121	127	131	135	138	141	144	148	154	159	162
28	147.662	14.04404	106	199	120	125	129	136	140	144	147	151	155	159	165	172	176
