n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.349204	1.088560	0	4.6904	0	2.4495	2.4495	2.4495	2.6458	3.3166	3.3166	4	4	4.4721	4.6904	4.6904	4.6904
5	5.635422	1.298316	0	8.2462	2.8284	3.1623	4	4.6904	5.099	5.2915	5.6569	6	6.3246	6.7823	7.2111	7.746	7.874
6	8.279586	1.837356	0	12.6491	4.4721	5.1962	6	6.7823	7.2801	7.746	8.3666	8.8318	9.2736	9.8995	10.6301	11.1803	11.4891
7	11.01533	2.327193	4	17.6068	6.3246	7.2111	8.2462	9.0554	9.6954	10.2956	10.8628	11.5758	12.1655	12.9615	13.9284	15.2315	15.6844
8	14.45976	2.680785	7	23.5372	9.434	10.2956	11.0454	12.1655	12.9615	13.5277	14.2478	14.9332	15.8745	16.8523	18.1108	18.9209	19.5704
9	17.82264	3.324519	8.4853	28.4253	11.5758	12.8062	13.7113	14.9666	15.8745	16.7332	17.6068	18.4932	19.4936	20.6882	22.2261	23.7908	24.779
10	21.52233	3.861008	11.7473	35.3412	14.7648	15.8745	16.8819	18.1384	19.2354	20.1246	21.1187	22.1585	23.2594	24.7386	26.7955	28.688	29.4279
11	25.63768	4.532081	14.3527	39.7492	17.4356	18.7617	20.0998	21.4476	22.891	24.2074	25.2982	26.4197	27.8568	29.5635	31.9061	33.4963	34.4384
12	29.92156	5.186126	16.6433	47.833	20.347	21.9773	23.2809	25.4165	26.9815	28.3725	29.6142	30.9031	32.619	34.0441	37.0135	38.7685	39.9375
13	34.66641	5.973424	21.4476	56.0357	24.4131	25.8457	27.3861	29.3258	30.9192	32.4654	34.1467	35.7491	37.3363	39.4968	42.9418	45.6727	47.0744
14	39.04859	6.526643	22.3383	62.0564	27.3679	29.189	30.9031	33.1512	35.327	36.8103	38.5487	40.2616	42.2256	44.7437	48.0312	50.774	52.2111
15	43.97357	7.624102	26.533	68.8912	31.1448	32.6497	34.641	37.3095	39.4208	41.2311	43.1509	45.3652	47.392	50.4381	54.2402	57.5674	60.0333
16	49.2161	8.151749	28.688	78.3135	34.1174	36.7696	39.3446	42.107	44.3283	46.4973	48.5901	50.8232	53.3385	56.1961	59.4727	63.2772	65.7495
17	54.75458	9.19263	33.0757	87.51	38.1576	41.2795	43.4511	46.5403	49.295	51.614	53.535	56.6216	59.649	62.6418	67.0075	70.6258	73.6206
18	60.61427	10.00324	33.3766	100.5385	42.3084	45.1885	48.2597	51.7204	54.827	57.5934	59.9333	62.538	65.3988	68.8331	74.3909	78.1985	80.0187
19	65.97196	10.88547	37.6298	105.9339	46.1952	49.3761	52.5167	56.5155	59.716	62.2254	65.2687	68.1029	71.4003	74.5386	80.3492	84.7585	88.0568
20	71.86438	11.62432	44.3396	110.2543	50.547	54.5252	57.0351	61.8466	65.0846	67.9338	70.8731	74.2428	77.8396	81.3265	86.9138	92.7901	95.3992
21	77.83198	12.54635	44.5421	124.4508	55.3715	59.5819	62.7694	67.1714	70.6258	73.7021	76.4461	79.9875	83.2346	88.3855	94.6467	99.0858	103.923
22	85.07833	14.06486	47.7703	134.1343	60.2578	64.436	67.7274	72.1734	76.4395	80.1249	84.006	88.2326	92.9086	97.7548	104.3312	109.5536	113.1901
23	89.64462	14.13329	53.2165	146.3011	62.1772	68	72.6911	77.2399	81.7435	85.5336	88.8482	92.2713	96.1041	100.8563	107.963	114.6124	118.0847
24	97.95034	16.8007	57.4021	157.2196	68.9057	72.2842	76.3348	83.2887	88.21	91.766	97.1648	101.8185	106.2921	111.9464	119.591	127.2046	131.2745
25	103.7430	17.13192	61.498	183.2048	72.9657	78.8162	82.994	89.4092	94.0425	97.8877	101.8234	106.5833	111.2924	117.983	126.1348	133.2141	139.8857
26	112.3518	18.68137	66.8281	175.4024	79.2654	83.7735	90.0611	96.8349	101.5185	106.1037	109.6084	114.7998	120.3329	128.0859	138.5316	148.1823	151.8782
27	117.3997	19.04210	73.973	201.6284	85.0999	89.4763	93.2094	100.6578	105.9623	110.8873	115.0217	120.4076	125.6901	134.8555	144.672	149.8866	155.7562
28	125.4429	20.71604	78.7718	209.6354	87.5671	93.2684	100.4689	107.5825	112.9159	118.3638	123.4666	128.8371	135.3846	142.6359	152.964	161.4837	166.9161
29	131.6490	20.65316	80.3866	217.481	94.2125	99.7998	105.9717	113.9825	119.1302	124.5392	130.3994	135.5802	141.1453	149.7531	158.9843	167.1048	172.2788
30	139.8899	22.96806	82.134	217.681	97.3858	105.9151	111.0585	120.8346	127.0197	132.8495	138.0688	143.6976	149.92	158.0475	171.2571	181.2953	187.5713
31	147.671	24.81873	86.4523	239.2781	102.9563	110.5622	118.3554	126.222	132.6424	138.6074	144.9	152.6041	160.3122	169.068	181.7141	190.9921	197.0837
32	155.2854	26.11798	83.3187	245.4628	106.4707	115.2649	123.7619	133.0827	140.1892	147.3567	153.4959	159.8843	166.4932	175.7214	190.3602	202.2177	208.8253
33	162.1354	26.06671	87.4643	257.2858	114.6822	122.2457	128.9961	139.7712	147.3703	153.9286	160.1936	166.7933	174.3388	183.8858	197.9242	208.1442	214.6951
34	171.3059	29.03222	92.2984	297.2356	119.1679	127.9805	136.18	145.482	153.7303	162.0093	169.3074	177.0056	184.5345	195.7524	209.981	222.3533	231.0498
35	179.9680	29.83317	106.066	322.8064	125.9841	137.0328	144.4299	155.647	163.5604	169.4934	176.8559	184.8783	193.3287	203.2191	218.6092	232.3618	245.6217
36	186.9497	31.45962	109.476	332.8738	130.8472	139.7605	149.4958	159.8155	169.3547	177.5246	184.4072	192.0989	200.04	211.575	229.1615	242.7571	251.0936
37	195.9659	31.94906	115.2128	313.439	137.3172	145.6297	157.5309	168.3211	177.2682	185.1756	192.6032	202.6327	211.6696	222.4095	238.9184	252.5035	260.4112
38	203.9618	32.80997	121.8277	316.0744	147.7464	154.4474	165.0788	174.7026	184.2607	193.0466	200.99	209.8571	218.9315	230.1869	248.413	262.6271	272.3123
39	213.033	34.76639	134.566	345.4302	147.9392	161.4992	171.2133	182.7348	191.7863	201.0025	210.3188	220.7034	230.7076	241.3835	259.9962	273.5288	283.3725
40	223.6041	37.67325	130.4569	375.2146	156.3298	166.0602	177.6879	191.0916	201.487	210.5517	221.26	231.1039	240.6616	256.1835	272.5454	289.4961	300.8471
41	231.5474	38.40636	140.7906	361.9558	160.0187	171.2892	183.4121	198.3885	211.3812	220.5992	229.203	236.9008	249.2589	261.247	284.5944	298.6436	310.0129
42	238.7535	39.72876	144.0174	394.6822	164.8454	175.6502	189.4598	204.0515	214.5367	225.2621	236.1017	248.1794	259.8884	273.3368	290.0983	304.8918	313.2012
43	249.6468	40.68452	143.1852	370.2972	176.2498	189.8947	200.2948	214.1028	226.2565	236.5967	245.7845	257.1303	267.6789	280.7953	304.4733	325.8711	337.4226
44	261.6783	44.71655	153.6522	424.3607	181.0083	196.0995	206.6495	223.9196	235.6523	245.7356	256.7294	267.6397	282.1259	299.3159	322.4298	340.1911	352.667
45	269.0679	43.36162	168.2558	421.8341	188.3083	205.5821	216.6379	231.2358	245.0306	253.8622	265.0132	276.5466	288.4302	304.5751	329.1292	346.8487	365.4148
46	279.0989	46.8605	158.294	432.7031	187.7898	207.4536	223.2174	238.2625	251.229	263.839	275.5485	287.8124	301.2142	320.0078	343.5418	362.7437	372.3184
47	288.7395	49.93802	170.0882	455.9189	199.5946	215.7869	227.4247	244.4381	260.369	271.3853	283.7499	297.1834	312.7811	330.5843	356.1011	378.2407	391.7295
48	297.0184	46.71405	176.1108	498.5298	215.9838	226.7995	238.5791	255.6951	270.4848	282.0266	291.7876	305.3801	317.4445	336.7403	359.046	382.1662	393.4323
49	308.3195	50.14731	189.5943	538.8562	219.8954	239.6205	250.06	265.4769	278.9516	290.4858	303.0907	315.2206	330.4452	347.0331	377.7089	398.0754	415.3095
50	320.4989	52.69706	197.5247	502.1215	227.1739	240.3269	253.6908	274.8381	288.4649	303.465	317.849	331.6384	345.4562	363.0647	390.2371	416.5261	426.9906
51	324.1865	54.76666	195.0897	528.9026	229.5648	246.065	256.928	275.826	290.9295	304.8475	317.9937	333.2537	349.3938	370.4106	400.3998	422.1801	441.0782
52	335.5162	55.45442	209.6974	555.5439	237.4679	252.9526	266.9157	289.3251	302.2383	315.2713	330.2348	345.4461	360.5302	382.3598	411.6625	432.4142	450.7893
53	345.9893	57.70992	211.7782	559.7589	241.5699	258.6426	274.2408	294.805	311.4675	325.9663	341.0953	356.7044	374.6625	395.9217	422.5447	446.7012	458.7134
54	357.3675	57.52474	196.0332	583.6694	256.8326	268.7155	285.6746	310.3466	323.9599	337.3663	352.2641	368.5811	383.8359	404.2821	437.2894	456.8764	469.52
55	371.1564	61.82398	223.6381	641.8146	261.1819	282.2906	297.0051	320.5651	336.8917	349.9314	364.6889	378.5974	397.1196	417.8373	451.1031	479.9687	509.0894
56	382.9761	65.01768	231.2488	618.8934	268.358	288.0573	303.7433	325.8635	344.6157	362.0097	378.6516	393.981	412.6439	434.4145	468.1634	501.2255	519.9615
57	391.37	61.45977	244.4259	609.5999	275.6592	299.0585	312.6915	340.1852	357.9469	371.6773	385.8679	402.0746	421.2956	439.8591	473.7024	500.174	518.8988
58	399.2331	65.48387	223.3383	625.3023	288.0243	300.4031	317.8758	339.1858	361.306	377.3076	391.8954	410.8357	431.247	454.9011	487.918	512.3778	537.3276
59	416.6684	71.60921	256.3708	728.2005	294.9475	313.2571	328.0732	354.2852	376.2712	394.2081	410.5752	428.8263	447.2583	473.4216	513.9825	541.4831	566.7557
60	426.0071	71.23753	237.2488	688.8048	303.1336	320.1796	338.3741	364.1744	384.7285	401.334	418.6311	436.5203	459.0686	484.932	524.8466	552.5088	574.7756
61	433.1965	74.47144	242.3386	747.5386	308.3213	326.4812	345.8034	366.7151	390.9169	408.3356	426.054	440.4498	463.2537	493.7185	535.4979	563.9539	581.2487
62	445.4498	74.48148	271.7076	670.9486	313.1805	329.2567	353.511	380.3656	403.5629	418.061	440.6177	456.8873	481.0956	506.1433	545.4659	578.5663	607.0799
63	455.893	77.40887	265.605	767.1923	316.5122	339.1725	362.803	388.1804	412.3712	430.6785	452.9393	470.9289	489.6611	518.2779	555.7373	585.6398	604.0563
64	466.3797	77.62888	295.8429	729.2236	318.8981	346.5631	367.9171	400.788	421.8139	443.7139	460.4834	478.0439	500.8962	530.2603	576.5726	604.2284	624.6495
65	479.1767	77.25982	287.3639	752.5397	337.221	359.686	383.6952	412.9431	434.6884	453.7841	472.3346	492.8631	516.1221	540.2777	583.7397	620.975	640.3718
66	490.8582	80.6438	291.827	857.8712	341.2316	368.4888	394.881	423.1359	443.6677	465.6393	483.388	503.4243	526.59	558.0054	601.2928	632.4524	652.2668
67	500.9487	84.45573	298.0302	841.7125	349.2163	375.7073	393.9898	426.5513	454.0308	473.2906	494.3379	513.858	541.1137	567.5333	606.6927	652.2592	676.3756
68	517.1185	86.2691	303.6824	880.7639	357.6339	389.8884	412.239	440.7108	467.015	489.8581	509.5478	531.7857	554.5214	589.3751	631.4578	673.9006	692.9192
69	527.5677	85.05996	324.5335	816.2708	378.7163	402.4401	421.7962	452.3538	474.9105	497.2424	520.6035	543.7297	569.4295	600.0283	636.3977	670.3507	703.005
70	539.3388	90.13197	329.6483	877.5386	370.1797	406.812	430.7482	465.532	487.673	506.5985	529.916	557.4495	581.7156	612.743	657.7005	701.4278	722.8174
71	554.0402	94.96802	287.8576	890.2865	379.8737	410.4875	438.0388	472.6204	501.8406	524.6732	548.3357	569.9596	596.8417	626.5477	679.7676	719.9333	752.5211
72	566.0467	93.41493	341.466	893.5217	396.9597	425.98	446.5512	485.6305	511.1683	537.0689	561.8363	583.5006	608.2532	644.8659	687.9586	728.3028	754.694
73	576.5039	100.4096	359.8611	935.7916	409.2676	432.1875	456.6224	489.0971	513.6263	537.8178	564.0691	590.039	623.4437	661.3214	717.2684	757.4655	780.9814
74	587.6538	97.21681	368.3925	1025.749	423.521	445.2404	468.903	503.9871	530.2518	555.1973	576.8605	601.3709	627.4695	669.3542	721.5234	764.7522	792.8852
75	597.716	102.0584	392.3391	1063.244	423.554	447.6092	474.154	508.3739	537.3881	562.7753	588.0527	614.4786	645.2209	679.3983	740.3594	775.2522	804.4837
76	608.8727	102.7889	351.8537	1013.142	434.8678	461.2451	482.1141	520.9261	544.5595	571.8479	596.0419	624.7712	658.0859	699.77	744.5757	786.7859	825.3266
77	624.9346	103.8745	384.9338	1075.119	437.4974	469.3336	507.2751	537.8717	562.3753	587.0485	611.8333	637.6614	675.0289	715.8925	762.3215	820.5547	839.4665
78	639.9464	108.7183	383.2062	1062.233	451.3358	479.095	508.0955	544.9138	577.5941	604.4833	632.0926	656.1943	687.5027	726.3684	787.5982	839.9006	869.2997
79	654.761	108.6162	406.133	1019.179	457.9651	487.5695	519.3862	561.8701	592.3715	618.0534	645.6268	675.9068	702.7745	745.4006	801.6645	853.5479	873.2594
80	669.0208	114.4679	402.0199	1064.555	467.3992	489.0194	527.7149	571.2416	604.4651	630.3412	659.9712	688.3713	725.1565	764.7869	818.5371	862.1572	895.0693
81	678.5812	111.6904	409.2945	1210.566	481.0987	518.7928	548.0365	581.0473	610.7782	640.2375	666.5178	698.2335	727.7197	762.9954	830.7406	877.2218	907.7918
82	685.0637	116.4676	409.3067	1171.939	480.3218	515.2999	552.1295	587.5985	614.4591	643	670.0336	703.7045	733.7956	774.7826	843.44	899.8305	935.7981
83	701.4782	120.7139	391.3949	1226.282	489.5733	523.6793	553.1853	596.8082	627.6528	662.7202	690.8488	726.6953	761.5366	800.3662	853.6814	919.2649	956.3828
84	715.0606	117.6205	414.7927	1136.546	509.6764	534.1844	569.556	615.3779	644.9651	676.6373	704.5424	734.0668	768.4536	810.4098	878.8259	932.6918	960.6368
85	730.0066	120.2172	439.2835	1170.569	518.1679	551.9674	579.4739	623.4773	657.5394	690.0203	718.3982	753.7718	787.2331	831.1414	887.5168	937.5639	971.26
86	742.5541	120.3877	473.0729	1178.931	534.5727	571.7709	595.8204	637.5249	670.1104	703.042	729.6479	766.869	797.6133	840.7812	899.8822	955.502	996.2841
87	757.816	125.1644	483.3011	1232.537	539.9926	572.36	602.7769	649.7861	688.093	718.8672	746.9873	772.7613	810.5011	856.2359	921.4282	985.6967	1044.671
88	763.4809	130.015	449.3451	1226.746	542.8646	569.0817	602.854	647.146	681.524	719.1384	757.3058	786.796	825.0382	869.6252	942.6776	987.3399	1022.837
89	783.714	133.1284	462.9255	1338.070	542.3394	579.643	625.2855	667.5882	703.3719	734.3065	772.496	808.5394	848.1356	895.0486	962.5944	1010.422	1049.274
90	799.5136	136.9332	461.9177	1421.320	566.0848	604.8901	633.544	681.1109	718.8275	755.5912	785.179	823.0601	858.9226	911.8317	977.5526	1044.773	1094.699
91	812.671	130.8245	483.0631	1421.280	582.8533	622.7327	655.2816	698.6931	734.6959	766.7607	801.9264	835.9653	873.2651	923.8745	981.4194	1041.025	1075.501
92	817.895	135.1899	459.6727	1412.177	583.2178	618.8328	650.5559	698.4519	738.4186	773.0763	806.2351	840.1863	880.0358	926.4718	995.762	1060.241	1101.869
93	839.1338	138.3472	467.1766	1309.162	594.9118	635.4258	665.8679	718.7364	765.0856	796.7283	824.5617	854.2494	903.4567	951.564	1026.892	1082.258	1126.890
94	841.3332	136.6437	508.8173	1402.543	593.3085	637.8824	678.6641	724.584	762.7142	795.1245	822.5163	862.0249	897.0769	951.5635	1029.507	1093.170	1124.435
95	868.8317	143.6847	521.609	1452.724	620.4305	657.4511	698.789	747.6456	784.5279	817.808	855.4473	888.7013	935.6634	981.2553	1057.849	1126.403	1168.016
96	892.564	152.1422	509.8882	1422.282	628.5276	672.9948	713	763.6976	803.8905	835.4286	877.9066	908.5742	958.8185	1019.022	1099.235	1160.194	1216.665
97	898.6927	147.6246	550.8194	1426.852	635.5171	678.3686	715.8855	773.1649	812.9551	849.6152	887.8896	928.4999	963.8382	1011.989	1102.559	1161.901	1214.986
98	925.4678	159.234	512.3573	1520.106	638.2609	684.9504	728.8642	792.5497	837.1362	869.6816	913.9086	952.6327	996.5551	1056.466	1135.540	1214.378	1259.870
99	921.3078	151.0993	507.2061	1535.275	652.5075	690.9848	739.8892	797.6127	838.705	872.7978	905.005	945.4332	981.1758	1039.059	1130.458	1191.178	1262.361
100	942.8976	162.7863	526.6052	1644.718	652.496	705.1929	744.4958	804.4949	850.1747	890.5055	928.8487	974.1206	1016.615	1075.009	1153.638	1226.036	1273.241
101	956.8416	153.6933	586.9429	1480.913	685.7259	719.4595	766.9863	829.2213	867.7834	903.6194	938.2196	980.0214	1027.667	1091.014	1175.688	1229.024	1268.375
