n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	1.378	0.9262688	0	2	0	0	0	0	0	2	2	2	2	2	2	2	2
5	3.163692	1.049924	0	4	0	0	2.4495	2.4495	2.4495	3.7417	3.7417	3.7417	3.7417	3.7417	4	4	4
6	5.305645	1.028770	0	6.3246	2.8284	3	4	4.4721	4.899	5.6569	5.6569	5.7446	6	6	6.3246	6.3246	6.3246
7	7.565825	1.190676	3.1623	9.1652	4.4721	5.2915	6	6.6332	7.0711	7.4833	7.746	8.124	8.3666	8.6023	8.9443	9.0554	9.1652
8	10.2098	1.388499	3.4641	12.6491	6.6332	7.4162	8.4261	9.1652	9.7468	10	10.3441	10.7703	11.0905	11.3137	11.8322	12.1655	12.3288
9	13.12208	1.650323	4.2426	16.5529	9.1652	10.198	10.9545	11.8322	12.4097	12.8841	13.2665	13.6382	14.0712	14.5602	15.1658	15.6205	15.8745
10	16.22523	1.993957	8.4853	21.0713	11.5326	12.8062	13.5647	14.6969	15.2643	15.8745	16.2788	16.8523	17.3205	17.9165	18.6548	19.3132	19.6214
11	19.44112	2.334584	11.4018	26.0768	14.2829	15.5563	16.4317	17.4929	18.2209	18.9737	19.5448	20.1494	20.6882	21.5407	22.3607	23.1948	23.5372
12	23.02588	2.670087	14.4222	30.6594	16.9411	18.5203	19.5959	20.8567	21.6333	22.3607	23.0434	23.7487	24.3926	25.1992	26.2869	27.4955	28.1425
13	26.92148	3.059637	16.1864	35.9166	20.6882	21.7715	22.891	24.3721	25.3772	26.1151	26.8701	27.6405	28.5307	29.4618	30.9516	32.1559	32.7109
14	30.801	3.517049	20.3224	42.4264	23.9374	25.1595	26.3249	27.7308	28.8617	29.8831	30.7246	31.6228	32.6343	33.7639	35.3412	36.8917	37.8418
15	35.00405	3.976984	22.1359	47.0956	27.2029	28.3549	29.7658	31.686	32.8938	34.0588	35.0143	36	37.0405	38.1576	40.0749	41.833	42.7785
16	39.1772	4.587314	24.8193	52.792	30.315	31.7962	33.2114	35.0999	36.7015	37.8814	39.1408	40.2368	41.5572	43.1161	45.2438	46.9787	47.8748
17	43.93891	5.166678	28.2489	58.8218	33.7639	36.1939	37.7359	39.6737	40.9145	42.3084	43.4281	44.8999	46.4112	48.2079	50.951	52.9528	54.3139
18	48.46869	5.782767	32.6803	66.7907	37.855	39.5095	41.1825	43.4166	44.9889	46.5188	48.1768	49.8498	51.6236	53.376	56.116	58.66	59.9667
19	53.19045	6.166336	35.2136	70.9084	41.7852	43.6348	45.5412	47.7284	49.6588	51.4004	52.9528	54.4426	56.2317	58.7197	61.4492	63.7966	65.0385
20	58.25683	7.11435	41.3159	83.7078	45.3431	47.2758	49.3153	51.9519	53.8795	56.2761	58	59.7578	61.5142	64.1794	68.1689	70.7884	72.1595
21	63.71048	7.62237	45.8258	86.4407	49.679	51.788	53.8145	57.1664	59.1101	61.3514	63.3404	65.2074	67.9412	70.3847	73.8241	76.4591	78.7909
22	69.15915	8.512446	43.2666	98.5546	53.6749	55.9017	58.4893	61.6847	64.3117	66.3626	68.6149	71.0282	73.3008	76.4003	80.5792	83.6182	86.2322
23	74.15169	8.862577	49.0918	102.5963	56.9386	59.7662	62.6738	66.1816	69.3109	71.7356	74.135	76.4591	78.702	81.7802	85.9186	88.6115	91.1811
24	79.81657	9.848499	56.5332	112.57	61.0164	64.3117	67.3498	70.7955	74.1889	77.201	79.2401	81.878	84.9882	87.9545	93.4452	96.5557	98.585
25	85.86586	10.54186	55.4797	119.4236	65.9394	69.0362	72.1942	76.629	80.075	83.0181	85.7321	88.4195	91.0714	94.4987	99.95	103.4795	106.6677
26	91.48386	10.45211	65.7951	128.3121	70.7672	74.7596	78.3326	82.3165	85.3522	88.2553	90.9945	94.3398	97.0361	100.9406	105.2663	109.0504	110.621
27	97.35571	11.57417	67.1267	130.123	75.2994	79.2591	82	87.2009	90.7855	94.0319	97.2522	99.7697	103.5761	106.9673	112.7209	117.2604	119.5826
28	103.6474	13.28476	67.4092	154.1525	78.6829	82.5288	86.3887	92.4284	95.9375	99.8399	103.4166	106.6724	110.363	114.1928	119.7497	126.1903	130.0884
29	110.4978	14.02207	70.3136	156.1986	83.857	88.4081	92.9731	98.6306	102.7813	106.066	109.6905	113.2078	117.4053	122.1802	128.9574	135.0481	138.463
30	116.2641	14.33918	76.4788	162.6284	89.7106	93.3649	97.5961	104.2881	108.4988	111.6781	115.1	119.147	123.3086	128.2069	136.0882	141.5627	145.0517
31	122.8284	15.50941	84.8764	179.2429	92.4338	98.5901	103.5664	109.9091	113.8508	118.2455	121.8442	125.6423	130.0385	135.3883	143.9444	149.7865	154.3891
32	129.7647	15.84971	88.9494	183.562	100.638	105.4656	110.6888	115.356	120.2289	124.5632	129.1472	133.0075	137.855	143.6628	151.0629	156.9809	160.1468
33	136.8895	17.68004	88.3063	205.7571	105.0238	111.4181	115.9655	120.847	126.1428	130.9427	136.2498	140.6485	145.2377	151.2548	160.5989	166.8772	172.0872
34	143.5672	18.97600	91.1976	199.9925	107.2427	114.4072	120.2165	127.1888	132.0644	136.9525	142.7305	148.2059	153.4438	159.1226	168.8668	177.3161	182.0989
35	149.729	18.84968	98.9545	211.296	114.6647	120.698	125.3714	133.1315	139.4059	144.5199	149.218	153.753	158.8144	164.7362	175.9545	183.0519	186.7512
36	157.8936	20.08655	107.8842	218.8036	121.1115	126.9488	132.6047	139.7712	145.9452	151.7498	157.4802	162.8957	167.2244	175.1913	184.5616	193.3908	198.4313
37	164.1503	20.75817	110.3268	238.2268	125.6503	131.9394	139.0971	146.7174	152.591	157.4675	162.7636	167.3619	173.482	180.7484	192.5824	200.8183	207.2293
38	172.1143	22.15321	111.933	255.9922	129.3522	136.3415	144.6375	152.9314	159.6872	165.5083	171.2192	177.0198	183.1174	191.8228	200.9204	209.4755	214.2639
39	180.3342	22.33176	127.2871	251.8571	137.5645	144.3953	151.8552	160.8104	167.8035	173.4762	179.3377	185.844	191.4314	199.5345	209.5376	218.0688	225.5172
40	187.9852	24.31277	119.6829	261.5339	141.5768	149.1677	156.2434	167.7856	173.9856	181.3615	186.1478	193.9381	200.0975	209.1124	220.7872	230.3888	237.0232
41	195.9506	25.03897	138.3185	283.9789	149.7064	156.9459	163.9573	174.224	180.4106	187.6539	194.8435	201.3703	208.5186	217.821	229.6214	238.6001	244.1147
42	203.5526	25.86897	136.7479	281.0836	153.7043	163.8811	171.1286	180.953	188.7671	195.3458	202.9015	208.7103	216.3261	225.4063	238.1533	246.6739	255.0235
