n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	0.689	0.4631344	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1
5	3.301	1.349897	0	5	0	0	2	2	2	4	4	4	4	4	5	5	5
6	10.031	2.813886	0	14	3	4	7	7	10	10	10	11	12	12	13	13	14
7	23.111	5.256644	4	31	10	13	16	19	21	22	24	26	26	28	29	30	30
8	46.589	8.34756	8	60	22	29	35	41	44	46	48	50	52	54	56	57	57
9	84.047	13.12383	10	106	49	58	66	74	79	84	87	90	92	95	98	100	101
10	139.201	19.23478	39	173	87	102	115	126	132	139	143	147	151	155	160	163	165
11	218.631	26.16841	93	266	151	168	183	199	210	218	224	229	234	240	247	251	255
12	329.913	33.60766	175	397	234	262	285	307	319	327	336	343	350	359	367	373	376
13	478.366	43.83813	246	559	366	392	421	445	461	475	487	496	505	515	527	536	542
14	667.219	54.44518	401	784	532	562	592	626	649	663	677	690	700	711	727	738	744
15	911.303	69.12436	585	1049	704	782	830	864	889	907	922	938	953	966	985	1001	1007
16	1208.326	95.87912	650	1376	934	1036	1086	1139	1177	1202	1226	1246	1266	1288	1308	1328	1338
17	1581.926	110.2246	879	1795	1314	1373	1436	1498	1542	1578	1601	1626	1651	1670	1700	1723	1740
18	2040.427	130.5371	1240	2291	1704	1800	1862	1944	1994	2036	2064	2093	2117	2152	2184	2204	2214
19	2590.693	155.3408	1587	2902	2144	2290	2390	2492	2548	2590	2620	2651	2680	2711	2751	2781	2797
20	3231.029	176.2734	2198	3580	2787	2896	2998	3107	3170	3217	3258	3300	3336	3379	3424	3461	3475
21	4005.72	192.2259	3035	4370	3513	3626	3755	3864	3938	3997	4047	4082	4116	4162	4215	4248	4265
22	4877.038	244.1874	3773	5352	4255	4408	4562	4687	4794	4865	4920	4978	5032	5077	5139	5193	5225
23	5912.212	273.8538	4385	6438	5204	5422	5549	5686	5812	5896	5957	6027	6084	6139	6207	6273	6309
24	7087.513	322.7806	5724	7822	6235	6443	6656	6844	6963	7068	7158	7224	7292	7341	7432	7500	7537
25	8449.703	355.3387	6587	9179	7539	7844	8004	8198	8309	8422	8515	8589	8657	8735	8828	8893	8932
26	9953.03	418.6229	8132	10837	8861	9137	9417	9642	9806	9924	10030	10110	10195	10302	10408	10500	10550
27	11697.45	439.9825	9307	12597	10442	10850	11095	11398	11550	11662	11769	11863	11956	12055	12173	12271	12330
28	13624.99	517.6997	11242	14624	12309	12631	12885	13218	13443	13577	13719	13827	13948	14081	14202	14312	14379
29	15818.06	578.7321	12842	16958	14272	14738	15024	15416	15608	15783	15930	16048	16156	16272	16471	16563	16641
30	18262.16	661.1346	14442	19549	16499	16953	17408	17808	18062	18256	18389	18533	18654	18791	18964	19076	19125
31	20990.08	724.0798	15767	22484	19109	19728	20077	20466	20756	20954	21111	21261	21408	21566	21771	21890	22000
32	24007.1	766.1051	19775	25452	21904	22586	23045	23464	23743	23958	24135	24289	24435	24620	24859	25001	25102
33	27195.48	959.3138	21705	28872	24563	25344	25936	26530	26911	27166	27369	27606	27776	27980	28197	28350	28419
34	30939.12	910.7148	26413	32780	28568	29272	29787	30262	30602	30809	31031	31257	31469	31729	31995	32211	32315
35	34884.18	1056.025	29628	36951	31960	32755	33529	34191	34552	34834	35098	35288	35502	35724	36002	36251	36364
