n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.745	1.099629	0	4	0	1	1	2	2	3	3	3	3	4	4	4	4
5	6.689	2.045596	0	10	1	3	4	5	6	7	7	7	8	8	9	9	10
6	13.513	3.502585	0	20	5	7	8	11	12	13	14	15	16	16	17	18	18
7	23.114	5.499932	2	35	10	13	15	19	21	22	24	25	26	28	29	31	31
8	37.805	6.963725	11	54	20	25	28	32	35	37	39	41	42	44	46	48	48
9	55.598	9.879778	13	78	30	38	42	48	52	55	57	59	62	64	67	69	71
10	79.457	13.10847	23	113	48	55	62	69	75	78	81	84	87	90	94	97	100
11	110.214	15.8909	46	148	72	82	88	97	104	108	112	116	120	124	128	133	135
12	146.732	20.41394	55	201	98	109	118	131	138	145	149	153	158	163	171	177	181
13	191.023	24.81964	97	261	129	145	157	172	182	188	194	200	205	211	219	227	232
14	242.41	28.93571	117	310	177	190	203	219	231	239	246	253	260	266	277	283	289
15	302.715	35.86963	164	395	214	235	254	276	289	299	307	314	322	331	344	355	362
16	372.179	41.27213	184	481	259	292	320	345	358	369	378	386	393	404	418	429	439
17	454.783	46.25751	237	612	347	373	392	421	439	449	458	469	479	491	508	523	533
18	542.981	53.20968	333	693	409	446	472	503	523	537	549	559	571	584	602	621	629
19	646.65	63.03473	413	842	501	524	566	597	619	637	654	667	680	698	721	744	755
20	759.585	71.4325	431	957	589	628	666	708	731	751	767	784	799	816	839	863	876
21	886.316	81.95488	515	1119	674	745	781	826	856	877	895	911	929	950	977	1003	1031
22	1029.225	91.50488	515	1273	824	869	910	963	995	1018	1038	1058	1076	1100	1136	1163	1179
23	1176.702	98.57225	810	1430	934	994	1047	1100	1134	1168	1187	1208	1232	1256	1291	1321	1338
24	1352.898	108.916	860	1692	1105	1157	1217	1272	1311	1337	1360	1384	1409	1441	1483	1525	1542
25	1535.111	126.1887	1024	1856	1195	1305	1376	1443	1484	1519	1547	1573	1604	1638	1679	1722	1745
26	1735.536	139.3028	1194	2105	1378	1468	1563	1632	1679	1719	1753	1783	1810	1848	1896	1938	1956
27	1941.842	156.6040	1332	2380	1554	1672	1738	1822	1874	1919	1960	1997	2030	2068	2122	2164	2193
28	2180.467	166.2999	1180	2596	1778	1898	1956	2057	2110	2158	2195	2233	2270	2319	2381	2425	2448
29	2431.105	176.5899	1293	3054	2018	2118	2193	2299	2362	2416	2452	2484	2520	2569	2628	2685	2726
30	2705.557	193.541	2030	3272	2250	2352	2451	2561	2618	2678	2730	2771	2811	2855	2923	2998	3049
31	2993.892	207.7852	2179	3569	2511	2602	2732	2822	2904	2962	3013	3057	3100	3158	3233	3300	3373
32	3313.659	221.1796	2303	3948	2777	2899	3022	3148	3230	3291	3335	3380	3431	3486	3586	3636	3666
33	3631.773	247.2641	2662	4384	3027	3202	3325	3441	3523	3597	3653	3700	3759	3825	3931	4005	4058
34	3986.497	261.2422	2899	4910	3340	3520	3645	3798	3878	3956	4015	4063	4119	4189	4295	4369	4409
35	4360.805	285.8766	3176	5152	3694	3873	3994	4131	4235	4323	4385	4453	4511	4579	4688	4820	4854
36	4770.05	320.6678	3335	5878	4068	4194	4343	4537	4652	4723	4794	4857	4932	5024	5142	5237	5327
37	5186.032	318.7825	3936	6113	4433	4622	4773	4919	5057	5141	5216	5281	5348	5438	5557	5676	5757
38	5627.636	342.4998	4221	6796	4789	5019	5182	5366	5482	5576	5655	5731	5811	5893	6026	6145	6204
39	6104.941	358.0576	4794	7483	5295	5458	5623	5805	5959	6058	6149	6210	6284	6392	6525	6626	6704
40	6589.033	378.1515	4744	7694	5672	5903	6103	6296	6435	6541	6622	6705	6783	6889	7033	7163	7231
41	7122.779	420.884	4851	8562	6136	6381	6593	6806	6949	7064	7149	7247	7339	7460	7616	7749	7814
42	7643.326	445.3002	5521	8914	6595	6850	7049	7315	7455	7578	7672	7779	7881	8000	8167	8323	8433
43	8218.743	467.1378	5585	9511	7144	7417	7641	7869	8005	8141	8258	8344	8452	8586	8757	8920	9038
