n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.041501	1.123191	0	4.4721	0	0	2	2.4495	2.6458	3	3	3.7417	3.7417	4.2426	4.4721	4.4721	4.4721
5	4.867739	1.39685	0	7.4833	2	2.6458	3.1623	3.4641	4	4.5826	5.099	5.3852	5.7446	6	6.4807	7.0711	7.3485
6	6.990987	1.688199	2	11.0454	3.4641	4.2426	4.6904	5.4772	6.0828	6.6332	7.1414	7.4833	7.9373	8.3666	9.1652	9.6437	9.8995
7	9.139775	2.006387	0	14.8997	5.099	5.9161	6.6332	7.3485	8.0623	8.6023	9.0554	9.6954	10.247	10.8628	11.7898	12.53	12.9228
8	11.39441	2.410457	3.873	17.9165	6.6332	7.4833	8.3066	9.2736	10	10.7238	11.4018	12.083	12.7671	13.5277	14.4914	15.2643	15.7162
9	13.96711	2.94763	4.5826	23.2379	8.4261	9.2736	10.1489	11.3578	12.2882	13.0767	13.8924	14.6287	15.5242	16.5529	18.0555	18.8414	19.5704
10	16.37696	3.324958	7.5498	25.3574	10.0499	11.1355	12	13.3041	14.5602	15.4596	16.3401	17.1756	18.1659	19.3649	20.8087	22.1133	22.8254
11	19.06147	3.799327	10.0499	30.6105	11.8322	12.6886	14.0712	15.7162	16.9115	17.8326	19	19.9249	21.1187	22.3383	24.0624	25.4558	26.2107
12	21.67924	4.332717	9.3808	36.0139	13.4907	14.7309	16.1245	17.7482	19.1833	20.4695	21.6102	22.8254	23.9374	25.219	27.3496	28.9655	30.0333
13	24.26067	4.644511	12.4097	40.3237	15.1327	16.8226	18.0831	20.2237	21.7025	22.8692	24.0416	25.318	26.6083	28.2135	30.2324	31.8434	33.8526
14	27.3736	5.362095	14.4222	46.0543	17.4069	19	20.7364	22.6495	24.0416	25.632	27.0555	28.4077	29.9333	32	34.5398	36.7151	38.0395
15	29.96602	5.889525	16.5831	50.2295	19.0263	20.9523	22.7596	24.8797	26.4197	27.9821	29.4788	31.273	32.7414	34.8569	37.7624	39.9124	41.9285
16	32.86454	6.512698	16.0312	57.5413	20.7364	22.7596	24.7992	27.313	28.9828	30.6757	32.2955	34.5254	36.1525	38.4187	41.3763	44.1588	46.2061
17	35.91465	6.833862	19.2614	61.4003	23.0434	25.0599	27.1109	29.9333	32.0468	33.541	35.5949	37.4833	39.5348	41.833	45.0888	47.4868	49.0918
18	39.23642	7.410915	22.2036	67.7348	26.2107	27.6767	30.0333	32.573	34.7707	36.6879	38.7427	40.9634	42.9069	45.4423	49.2037	52.0481	53.768
19	42.21414	8.211098	22.5389	70.3562	27.55	29.95	31.8748	35.1568	37.2827	39.598	41.4005	43.715	46.0543	49.3559	53.1789	56.1427	58.4551
20	44.41286	8.491476	23	81.111	28.8271	31.0644	33.8231	37.2961	39.5854	41.6893	44.0681	45.9565	48.0208	51.3128	55.7494	59.2199	61.7252
21	47.58166	9.16466	25.671	83.4026	31.1929	33.5857	36.6197	39.3827	42.3202	44.5421	46.8722	49.2849	52.0865	54.9454	59.9583	63.7338	66.8431
22	50.8276	9.523034	29.9666	84.9824	33.6749	36.0555	38.5357	42.5558	45.5082	47.8539	50.2693	52.6308	55.2268	58.7197	63.293	66.3702	69.6491
23	54.17335	10.69226	28.2666	103.3296	35.4683	38.1182	41.3159	44.9444	47.8017	50.5272	53.3198	55.8928	59.2537	62.8411	68.0368	71.8331	76.6094
24	56.98086	11.54668	32.9242	108.4435	37.2693	40.5216	42.9651	46.9787	50.07	53.0848	55.9911	58.7878	62.0967	66.2042	71.7983	77.0649	81.7985
25	59.58817	11.80316	32.3265	101.3459	38.3145	42.8369	45.7056	49.3559	52.6308	55.5968	58.438	61.1637	64.467	68.7968	75.8947	81.1542	85.3756
26	63.51611	12.29744	37.47	111.8705	42.9884	45.4093	48.621	52.8015	56.2228	59.1861	61.9919	65.169	69	73.858	79.9875	85.1528	89.8053
27	66.13474	13.32314	37.2156	115.9655	43.0232	46.0543	49.6387	54.7266	58.3095	61.7576	65.7191	68.5274	71.5821	76.2627	83.9524	89.6214	94.186
28	69.77759	13.47615	39.8497	116.2325	45.9891	50.07	53.6097	58.5747	62.1128	65.2687	68.2495	71.638	75.4387	80.9753	88.1136	92.8332	97.8468
29	73.52425	14.77947	43.0116	152.0526	49.7795	52.7352	55.8749	60.3738	64.7688	68.3886	71.9583	75.8485	79.3599	84.5991	94.1276	100.3843	106.325
30	76.95894	15.20916	38.8201	145.839	50.8724	54.8999	58.5406	64.1093	68.1102	71.7496	75.1798	78.8162	83.7795	89.2693	98.1173	104.9	108.6738
31	79.90138	15.44634	47.5395	153.3851	53.1507	57.9051	62.458	66.7458	70.342	74.2092	77.408	81.5659	86.3829	91.9728	102.0245	108.3421	114.2541
32	83.53808	16.75726	43.6578	145.0276	55.2721	60.075	63.3798	69.5917	74.0473	77.4984	81.4616	85.6037	90.1221	96.7626	106.2591	114.1622	120.6482
33	86.5913	16.93909	44.5646	159.8656	57.5152	62.506	66.4229	72.0902	76.243	80.7527	85.3698	89.3364	93.4238	99.995	110.0591	116.3615	122.6377
34	89.5924	17.47549	47.8539	174.1953	60.8933	65.7495	69.4046	74.9133	79.975	83.6959	87.241	91.2195	96.0677	102.0637	111.9687	122.3193	130.5029
35	93.24885	17.89874	48.3115	169.1213	61.9435	66.6408	71.0211	77.7174	83.1023	86.9828	91.5369	96.0104	101.1929	107.8286	116.529	124.5231	130.9656
36	96.85231	19.52888	51.6914	171.5197	64.6916	68.5274	73.3348	80.7775	85.4985	89.8833	94.0425	98.7826	104.7091	111.9285	124.0605	134.246	139.4166
37	99.88931	20.69635	56.3294	191.5959	66.1513	71.7008	76.1774	82.668	87.9545	93.3916	97.1957	101.5972	107.7265	114.149	124.912	138.9568	151.1919
38	102.8302	20.21619	58.7452	201.4473	68.0735	72.8835	78.702	85.3112	90.7249	95.5144	100.3992	105.8253	111.5392	120.5404	130.1614	139.0252	143.3388
39	106.9806	21.53151	56.1961	202.0371	70.6682	76.0329	82.1401	88.9944	94.3557	98.8383	104.6805	109.7315	115.6503	123.8911	135.2516	146.4138	152.3417
40	109.2198	21.91821	59.6825	213.6399	71.1337	78.4092	84.6936	90.6808	96.0365	101.0198	106.9533	111.8079	118.2624	126.1388	137.4845	150.1333	154.9548
41	113.4101	22.34192	63.7495	224.7688	76.5506	81.9207	87.2582	94.4669	100.015	105.3186	110.5124	115.6849	123.0163	130.6139	143.2201	155.0613	161.8116
42	116.1511	22.81723	64.4127	225.1644	76.8765	82.4318	89.4315	97.0979	102.4744	108.4528	114.0395	118.9874	125.702	134.1231	145.7052	156.7992	163.7437
43	121.1347	25.04475	65.1383	231.5448	80.1374	85.6446	92.2442	100.1748	106.2262	112.0803	118.0932	123.8023	131.1183	140.0857	156.0192	167.6812	173.5281
44	123.3646	25.44849	68.2862	229.8043	81.3081	88.7243	94.3451	102.5183	108.4481	113.6486	119.7706	126.0317	133.7423	142.4465	157.8354	169.0207	179.9305
45	126.0941	26.51135	68.3886	242.7797	83.5643	90.2497	96.2237	102.5963	109.6814	115.9828	123.3937	129.7921	136.6309	144.7895	161.6045	176.2498	185.2944
46	132.0472	26.79336	72.5948	256.3045	90.0056	95.2418	100.6777	108.3467	114.8085	121.9303	128.4017	135.6871	144.2879	152.5287	167.329	180.9586	188.7856
47	135.8973	28.19537	73.2803	250.9821	90.3272	98.6154	103.9327	112.1873	119.7163	125.3395	132.2346	138.0688	146.6833	155.2611	173.6174	188.0904	199.8324
48	137.8671	28.26143	75.306	256.0742	93.7177	99.92	105.3992	113.1106	119.9917	126.2775	134.354	142.0493	149.5259	159.424	176.7371	188.3906	200.03
49	141.6167	27.38291	75.6241	275.4306	95.5196	103.7304	109.6586	119.2141	125.9444	131.0153	137.9456	145.3375	152.758	162.8158	177.2569	190.2314	203.7081
50	143.6381	29.93366	81.4801	321.4467	95.3625	101.7743	110.1363	118.6086	125.714	131.7422	138.7804	147.3703	156.0417	167.7558	182.3458	194.959	203.6934
51	147.7626	30.87082	77.2464	305.4505	100.4291	107.042	113.7761	122.3233	128.6818	135.886	142.9755	151.3275	158.7955	171.2454	187.3846	205.7134	215.2882
