n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.31	1.398519	0	6	0	0	2	2	3	3	3	4	4	4	6	6	6
5	5.969	1.704390	0	10	2	3	4	4	6	6	6	6	7	7	8	8	10
6	9.046	2.222346	2	16	4	6	6	7	8	8	9	10	10	11	12	13	13
7	12.618	2.600161	3	22	7	8	9	10	12	12	13	13	14	14	16	17	18
8	16.382	3.096395	5	28	10	11	13	14	15	16	16	17	18	19	20	21	22
9	20.55	3.674643	6	32	12	14	16	18	19	20	21	21	22	24	25	26	28
10	25.413	4.046085	13	40	17	19	21	22	23	24	25	26	28	29	31	32	33
11	30.35	4.706554	16	45	20	23	24	26	28	29	30	32	33	34	36	38	39
12	35.501	4.968167	20	55	25	27	29	31	33	34	36	37	38	39	42	44	45
13	40.831	5.67509	17	62	29	32	34	36	38	39	41	42	43	45	48	50	52
14	46.716	6.184626	28	70	34	36	39	42	44	45	47	48	50	52	55	57	59
15	51.758	6.533155	33	76	39	42	44	46	48	50	51	53	55	57	60	63	65
16	58.439	7.019797	37	85	45	48	50	52	55	56	58	60	62	64	68	70	72
17	64.635	7.5856	42	95	50	53	55	58	60	63	64	66	68	71	74	78	80
18	71.043	8.257805	43	110	55	58	61	64	66	69	71	73	75	78	81	84	88
19	77.545	8.960372	48	118	60	64	66	70	73	75	77	79	82	84	89	93	96
20	85.189	9.360283	57	118	67	70	74	78	80	82	85	87	89	93	98	102	104
21	91.6	10.32766	62	131	73	77	79	83	85	88	91	93	96	100	105	110	113
22	98.823	11.21282	70	141	78	83	85	89	93	95	98	100	104	108	114	119	122
23	106.031	11.54501	78	167	85	89	92	97	100	103	105	107	111	115	121	127	129
24	113.312	11.83743	81	162	91	95	99	104	107	110	112	115	118	122	130	135	138
25	121.24	12.59401	91	169	98	102	106	111	114	118	120	123	126	131	137	144	147
26	129.183	12.97590	92	175	106	110	114	118	122	125	128	131	135	139	147	153	157
27	136.472	14.45248	94	204	110	114	119	125	128	132	135	139	143	148	156	162	166
28	144.288	14.54767	107	212	119	123	127	132	136	139	143	147	151	155	164	170	174
29	151.7	15.39698	109	219	125	130	134	139	143	147	150	154	158	163	172	180	185
30	160.882	15.73842	121	229	132	137	142	148	152	156	159	163	168	173	181	190	195
31	169.761	17.44506	112	257	140	145	150	156	160	164	167	171	176	182	192	203	208
32	178.39	17.67440	126	243	148	152	157	164	169	172	176	180	186	193	201	210	220
33	186.929	18.28853	146	288	156	161	166	172	177	181	185	189	194	200	211	218	225
34	195.492	19.23101	154	275	163	168	174	179	184	189	193	198	204	211	220	230	237
35	204.729	20.28722	158	319	171	176	181	188	193	198	202	208	212	218	231	244	250
