n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.203	0.9553553	0	4	0	0	1	1	2	2	2	3	3	3	3	3	3
5	4.483	1.337722	0	7	1	2	3	3	4	4	5	5	5	6	6	6	6
6	7.523	1.752296	1	11	3	4	5	6	7	7	8	8	9	9	9	10	10
7	11.351	2.250525	2	15	5	7	8	10	10	11	12	12	13	13	14	14	15
8	15.866	2.664422	4	21	9	11	12	14	15	16	16	17	17	18	19	19	20
9	21.199	3.24776	5	27	13	15	17	19	20	21	22	23	23	24	25	25	26
10	27.658	3.418292	9	34	19	21	23	25	26	27	28	29	30	30	31	32	33
11	34.348	4.083083	18	43	24	27	29	31	33	34	35	36	37	38	39	40	40
12	42.3	4.39059	24	51	32	34	36	39	40	42	43	44	45	46	47	48	48
13	50.929	4.883012	20	61	39	42	44	47	49	50	52	53	54	55	56	57	58
14	60.131	5.280694	38	71	47	50	53	56	58	60	61	62	63	65	66	67	68
15	70.34	5.965735	45	83	54	59	62	66	68	70	71	73	74	75	77	78	79
16	81.663	6.277327	55	96	66	70	73	77	79	81	83	84	86	87	89	90	91
17	93.431	6.613394	69	107	77	81	84	88	91	93	94	96	97	99	101	103	104
18	106.383	7.485609	62	122	88	93	97	101	103	105	107	109	111	113	115	116	117
19	119.684	8.302595	80	138	99	105	109	113	116	119	121	123	125	127	129	131	132
20	134.536	7.991907	95	151	116	120	124	128	131	134	136	137	139	141	144	145	147
21	149.354	9.065366	106	169	125	133	138	142	146	148	150	152	155	157	160	162	163
22	164.739	9.97579	124	185	139	146	151	157	161	163	166	169	171	173	176	179	180
23	182.538	10.27415	138	205	154	164	169	175	179	182	184	187	189	191	194	196	197
24	200.343	10.27779	155	225	175	182	187	192	196	199	201	204	206	209	212	215	216
25	218.798	11.42119	170	244	191	198	203	210	215	218	220	223	225	228	232	235	237
26	237.909	11.7604	188	263	208	216	223	229	233	236	239	242	245	248	251	255	256
27	257.548	12.84378	194	286	226	233	241	247	252	256	259	262	265	268	272	276	277
28	278.217	13.37673	218	308	244	252	261	268	273	277	280	283	286	290	294	296	298
29	301.04	13.74312	244	337	266	277	283	291	295	299	303	307	309	312	317	320	322
30	323.798	14.19516	273	360	289	297	304	312	317	322	326	329	333	336	340	343	345
31	347.295	15.51634	272	382	309	320	327	334	341	346	349	353	356	360	365	369	372
32	372.236	14.82194	295	406	338	346	353	360	366	369	373	377	381	385	391	394	396
33	397.407	16.79492	340	439	355	366	376	384	390	395	399	403	407	412	417	422	423
34	423.279	17.53364	352	470	380	392	400	410	416	421	425	429	434	438	444	449	451
35	449.08	18.30723	367	490	402	417	426	435	441	447	451	455	459	464	470	475	478
36	478.515	18.42659	401	517	435	444	454	464	471	476	480	485	490	494	501	505	507
37	507.247	19.73848	433	552	458	472	480	491	499	505	509	514	519	524	530	534	538
38	535.566	20.65232	436	595	488	497	508	520	526	532	537	543	548	553	560	565	569
39	567.032	20.89487	491	617	515	531	540	550	557	563	570	575	579	585	592	597	599
40	597.819	22.45829	506	649	546	556	567	579	588	595	601	606	611	617	624	630	633
41	630.336	22.6915	537	684	574	587	600	613	621	629	634	638	643	648	656	662	666
42	661.64	23.21485	565	714	602	619	632	642	652	659	665	671	676	681	688	693	696
43	696.529	25.18089	591	752	631	649	662	677	686	694	700	705	712	718	725	733	735
44	730.161	25.1653	599	789	672	686	697	710	719	726	733	739	745	752	760	767	771
45	765.925	25.96454	669	834	702	717	731	745	755	763	769	774	782	788	797	803	807
46	804.596	27.14188	699	871	741	757	767	781	792	800	808	814	822	829	836	842	846
47	839.882	26.68145	747	900	778	794	805	819	827	834	841	849	856	863	872	880	886
48	878.483	29.39431	750	948	808	826	838	856	865	873	881	889	897	905	913	920	924
49	917.449	28.8486	813	998	848	868	881	894	904	911	920	927	934	942	952	960	965
50	955.238	30.34766	827	1033	884	899	914	931	942	952	958	965	971	980	992	1000	1007
51	997.7	31.35607	853	1072	922	940	955	972	984	994	1001	1009	1016	1024	1034	1042	1048
52	1038.908	30.74174	920	1119	971	982	996	1013	1025	1035	1042	1049	1057	1065	1077	1083	1088
53	1082.19	33.49561	939	1154	996	1018	1037	1055	1068	1078	1087	1094	1103	1110	1121	1128	1134
54	1122.384	36.19515	986	1222	1039	1062	1075	1091	1104	1116	1127	1135	1143	1154	1166	1174	1178
55	1168.549	35.40917	1016	1251	1080	1103	1122	1143	1154	1164	1172	1179	1190	1199	1211	1217	1223
56	1212.743	36.62546	1072	1301	1131	1146	1162	1182	1197	1209	1217	1225	1234	1244	1256	1265	1272
57	1259.04	37.55152	1108	1351	1168	1189	1209	1230	1242	1253	1263	1272	1281	1290	1303	1315	1320
58	1303.958	39.53134	1098	1404	1209	1233	1252	1275	1288	1298	1308	1317	1328	1337	1351	1359	1366
59	1352.985	38.68676	1165	1437	1255	1283	1305	1323	1336	1347	1355	1364	1376	1387	1400	1409	1417
60	1402.496	39.94601	1259	1500	1306	1332	1350	1370	1384	1395	1407	1417	1426	1437	1451	1460	1467
61	1450.415	42.02789	1305	1561	1348	1377	1395	1418	1431	1443	1454	1465	1475	1486	1501	1511	1519
62	1500.516	42.9814	1295	1616	1399	1424	1447	1466	1481	1494	1504	1515	1526	1538	1552	1560	1568
63	1552.941	43.06344	1377	1666	1449	1475	1497	1518	1534	1547	1557	1567	1578	1589	1604	1614	1623
64	1605.229	45.95453	1380	1724	1490	1521	1545	1572	1587	1598	1610	1620	1630	1645	1660	1671	1678
65	1654.691	45.77074	1427	1774	1547	1573	1595	1620	1636	1649	1660	1669	1680	1693	1710	1721	1727
66	1708.404	45.82985	1437	1834	1591	1624	1649	1675	1690	1703	1714	1724	1734	1745	1760	1776	1784
67	1765.65	48.24655	1538	1880	1645	1680	1703	1731	1746	1759	1771	1782	1794	1806	1822	1832	1842
68	1816.776	50.37733	1622	1952	1690	1723	1751	1778	1795	1810	1824	1835	1846	1858	1875	1889	1897
69	1875.453	49.70008	1693	1980	1742	1782	1809	1838	1855	1869	1883	1893	1905	1917	1931	1945	1953
70	1931.421	51.43732	1723	2065	1813	1837	1865	1890	1909	1925	1936	1949	1961	1973	1993	2006	2017
71	1987.875	54.03526	1689	2121	1859	1886	1913	1948	1965	1978	1993	2005	2020	2034	2053	2065	2072
72	2047.455	54.10369	1823	2177	1906	1946	1979	2006	2024	2039	2052	2064	2079	2093	2113	2125	2134
73	2106.783	58.113	1852	2281	1967	2003	2028	2060	2082	2098	2115	2126	2141	2154	2174	2190	2199
74	2167.761	54.72731	2004	2302	2042	2067	2095	2123	2142	2157	2171	2184	2199	2214	2235	2251	2258
75	2229.355	58.6005	1975	2363	2079	2127	2153	2186	2206	2222	2237	2250	2262	2276	2296	2312	2325
76	2289.212	61.36712	2058	2442	2136	2178	2209	2241	2263	2282	2297	2309	2324	2342	2363	2375	2387
77	2355.658	62.34152	2086	2521	2205	2247	2271	2309	2330	2348	2361	2375	2393	2410	2428	2443	2452
78	2418.81	62.98075	2194	2569	2265	2306	2333	2368	2390	2411	2428	2440	2456	2471	2494	2510	2520
79	2481.881	63.64232	2204	2624	2341	2369	2396	2431	2456	2472	2490	2502	2516	2536	2558	2576	2587
80	2548.659	64.95415	2228	2705	2386	2434	2464	2497	2523	2541	2557	2572	2587	2602	2623	2640	2648
81	2615.73	65.09476	2329	2766	2463	2501	2528	2563	2588	2608	2624	2638	2655	2670	2693	2709	2717
82	2681.888	66.00101	2305	2855	2533	2562	2597	2628	2652	2672	2688	2705	2721	2738	2760	2778	2791
83	2748.13	72.09825	2305	2906	2568	2618	2654	2695	2719	2742	2757	2773	2790	2807	2829	2848	2858
84	2816.862	71.03694	2448	2985	2645	2692	2725	2763	2786	2806	2825	2840	2857	2875	2903	2918	2930
85	2887.692	69.33546	2596	3068	2726	2756	2794	2831	2858	2881	2896	2911	2928	2945	2969	2985	3001
86	2958.42	72.4801	2543	3174	2782	2831	2864	2904	2927	2949	2967	2986	3000	3017	3040	3062	3069
87	3032.425	75.50366	2596	3251	2850	2897	2932	2973	3000	3023	3044	3059	3077	3095	3119	3136	3146
88	3099.019	79.24125	2698	3295	2911	2949	2989	3035	3067	3092	3109	3127	3145	3164	3192	3211	3229
89	3179.766	73.51691	2861	3362	3009	3042	3086	3120	3146	3167	3184	3204	3224	3241	3266	3286	3298
90	3246.268	76.81547	2981	3479	3065	3103	3143	3186	3214	3236	3257	3273	3292	3309	3334	3356	3365
91	3329.038	82.68604	2998	3534	3135	3176	3217	3262	3294	3320	3341	3358	3376	3398	3428	3448	3459
92	3400.635	83.30641	3082	3598	3194	3248	3282	3340	3367	3390	3411	3430	3448	3470	3498	3520	3534
93	3473.572	89.10465	3116	3684	3241	3317	3363	3411	3435	3460	3483	3507	3525	3546	3578	3600	3614
94	3555.618	88.18105	3200	3848	3335	3394	3440	3485	3517	3545	3567	3588	3606	3627	3657	3683	3698
95	3631.034	85.8554	3263	3833	3433	3475	3514	3565	3595	3621	3639	3656	3678	3703	3734	3757	3769
96	3710.29	87.75414	3397	3944	3497	3553	3594	3639	3670	3697	3718	3739	3760	3785	3811	3841	3854
97	3791.324	94.34245	3328	4041	3570	3627	3658	3719	3752	3779	3805	3823	3845	3868	3899	3926	3943
98	3874.25	93.66946	3454	4118	3652	3699	3752	3799	3834	3863	3885	3907	3928	3951	3989	4009	4018
99	3954.16	96.5796	3491	4208	3726	3776	3814	3882	3915	3941	3965	3988	4009	4033	4065	4094	4111
100	4040.119	97.94337	3612	4252	3789	3868	3907	3967	4002	4028	4054	4075	4097	4121	4151	4175	4193
101	4121.981	96.9143	3690	4368	3907	3948	3991	4045	4081	4109	4133	4154	4177	4202	4234	4265	4278
102	4209.355	98.38642	3843	4479	3969	4033	4078	4134	4169	4195	4220	4242	4265	4292	4324	4348	4368
103	4289.799	104.0213	3780	4502	4006	4095	4158	4214	4252	4279	4303	4327	4347	4375	4407	4434	4446
104	4382.842	96.35853	3921	4610	4164	4210	4256	4308	4343	4369	4393	4414	4436	4466	4496	4525	4539
105	4468.477	106.127	4021	4700	4194	4270	4321	4390	4423	4456	4477	4509	4534	4558	4591	4616	4626
106	4548.355	108.56	4107	4833	4273	4337	4403	4468	4505	4535	4563	4586	4612	4636	4673	4698	4711
107	4639.22	109.6052	4152	4895	4354	4448	4496	4557	4594	4627	4656	4676	4701	4727	4768	4794	4811
108	4734.03	114.7237	4225	5045	4439	4527	4587	4646	4686	4721	4750	4777	4802	4830	4865	4891	4905
109	4813.937	117.0644	4353	5094	4504	4593	4660	4730	4772	4803	4827	4853	4882	4910	4949	4976	4995
110	4916.073	114.2629	4407	5228	4628	4714	4762	4827	4865	4901	4932	4955	4982	5012	5048	5076	5096
111	5003.523	122.7155	4487	5323	4701	4770	4841	4914	4951	4981	5010	5045	5077	5110	5153	5178	5193
112	5093.619	123.1192	4503	5413	4790	4859	4939	5004	5041	5076	5110	5140	5168	5196	5235	5261	5278
113	5188.309	121.7968	4620	5461	4877	4969	5026	5098	5139	5170	5201	5234	5259	5289	5330	5355	5373
114	5286.645	124.3833	4773	5555	5008	5059	5120	5191	5233	5270	5296	5324	5358	5390	5438	5472	5484
115	5378.932	124.8905	4848	5658	5064	5160	5214	5283	5323	5357	5390	5421	5454	5484	5526	5559	5580
116	5481.664	131.9037	4884	5827	5157	5234	5309	5385	5427	5462	5499	5527	5563	5594	5630	5664	5681
117	5577.241	127.7418	4921	5896	5252	5325	5415	5487	5531	5562	5591	5623	5650	5679	5723	5753	5769
118	5675.468	133.1265	4987	6002	5335	5429	5509	5580	5626	5661	5693	5721	5751	5785	5827	5858	5875
119	5774.899	129.2599	5028	6051	5464	5535	5599	5681	5721	5758	5789	5816	5849	5882	5925	5962	5978
120	5875.529	130.1895	5296	6194	5539	5640	5705	5782	5823	5857	5892	5922	5947	5978	6029	6065	6082
121	5969.128	145.7222	5376	6348	5614	5699	5779	5858	5910	5947	5985	6017	6053	6096	6137	6172	6201
122	6071.854	149.0603	5168	6409	5691	5788	5882	5968	6022	6053	6087	6122	6154	6193	6242	6279	6308
