n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	1.41	0.9125419	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2
5	2.625	0.9556612	0	4	0	0	2	2	2	3	3	3	3	3	4	4	4
6	5.025	1.528631	0	7	2	2	3	4	4	5	6	6	6	6	7	7	7
7	7.37	1.663691	0	10	3	4	5	6	7	7	8	8	9	9	9	9	10
8	10.692	2.154479	3	16	6	7	8	9	10	10	11	12	12	12	13	14	14
9	14.031	2.249689	5	19	9	10	11	12	13	14	14	15	15	16	17	17	17
10	17.712	2.721482	7	24	12	13	14	15	16	17	18	19	19	20	21	22	22
11	21.718	2.934465	9	29	15	17	18	19	20	21	22	23	23	24	25	26	27
12	26.379	3.466898	14	35	18	20	22	24	25	26	26	27	28	29	31	32	32
13	30.421	3.734127	16	40	22	24	26	27	29	30	31	32	33	34	35	36	36
14	35.601	4.072884	21	47	27	29	30	32	34	35	36	37	38	39	41	42	43
15	40.031	4.366361	25	52	30	33	34	36	38	39	40	41	42	44	45	47	48
16	45.512	4.641702	32	63	36	38	39	42	43	44	46	46	48	49	51	53	54
17	50.766	4.938586	29	66	41	42	44	47	48	50	51	52	53	55	57	59	60
18	56.741	5.12935	37	75	47	48	50	52	54	56	57	58	59	61	63	65	66
19	62.326	5.607421	39	81	50	53	56	58	59	61	62	64	65	67	69	72	73
20	68.3	6.10502	50	87	56	58	61	63	65	67	68	70	72	73	76	78	80
21	74.331	6.551363	51	95	60	64	66	69	71	73	75	76	78	80	83	85	87
22	81.042	6.747278	57	102	66	70	73	75	77	80	81	83	85	86	90	92	93
23	86.867	7.078518	65	114	73	76	78	81	83	85	87	88	90	93	96	98	100
24	93.741	7.41059	72	114	78	81	84	87	90	92	94	96	98	100	103	106	108
25	100.398	7.503459	78	131	85	88	91	94	96	98	100	102	105	107	110	112	114
26	107.708	8.248805	81	133	90	94	97	101	104	106	108	110	112	114	118	122	123
27	114.282	8.120124	91	145	98	101	104	108	110	112	114	116	118	121	125	128	130
28	121.239	8.509894	95	147	103	107	110	114	117	119	121	123	126	128	132	135	137
29	128.423	9.00762	102	159	111	113	117	121	124	126	128	131	133	136	140	143	146
30	136.155	9.059528	107	165	118	121	125	129	131	134	136	138	141	143	148	151	154
31	142.981	10.23951	106	185	122	127	130	135	138	140	143	145	148	151	156	159	162
32	151.454	9.830897	123	191	132	135	138	143	146	149	152	154	156	160	165	168	171
33	159.333	10.30730	124	205	138	143	147	151	154	156	159	162	165	168	172	176	178
34	166.283	10.74488	133	198	145	149	153	157	160	163	166	169	172	175	181	185	187
35	173.887	11.16929	135	209	151	156	160	164	168	171	174	176	179	183	188	193	196
36	182.745	11.43962	150	221	159	165	168	173	177	180	183	185	188	192	197	202	206
37	191.057	11.55185	156	230	168	173	176	181	185	188	191	194	197	200	206	211	213
38	199.201	11.89244	164	236	176	180	184	189	193	196	199	202	205	209	215	220	223
39	206.503	12.38141	167	246	182	186	191	196	200	203	206	209	212	217	223	228	230
40	215.444	12.88809	181	262	190	196	199	205	209	211	214	218	221	226	233	237	242
41	224.082	12.75515	191	267	200	204	208	213	217	221	223	227	230	234	241	246	249
42	232.493	13.47774	194	276	205	211	216	221	225	229	232	236	240	244	250	254	257
43	241.858	14.27142	193	293	212	218	224	230	234	238	242	245	249	254	260	266	268
44	250.622	14.05100	198	304	223	228	233	239	244	246	250	254	258	263	269	273	275
45	259.132	14.29521	218	305	231	237	241	247	251	255	258	262	266	271	278	283	287
46	267.306	14.88865	216	328	237	244	249	255	259	263	267	271	275	279	286	292	295
47	277.413	14.67589	239	332	249	254	259	266	269	273	277	281	284	289	296	303	307
48	285.826	15.57043	240	343	256	260	266	273	278	281	285	289	293	299	306	312	316
49	294.058	15.55888	254	351	264	270	274	280	286	290	294	298	302	307	314	321	324
50	305.126	16.44349	251	363	274	279	285	291	297	301	304	308	313	319	326	332	338
51	314.233	16.66038	268	386	284	289	294	300	305	309	313	316	322	328	337	342	347
52	323.007	16.99393	260	385	289	296	301	309	314	318	322	327	331	337	345	351	357
53	333.489	17.63368	284	407	301	307	311	317	323	328	332	338	343	349	356	363	367
54	342.05	18.1698	288	410	308	313	319	327	332	337	341	346	350	358	366	372	378
55	351.872	18.30258	296	425	314	322	329	337	342	347	351	356	361	367	375	383	386
56	360.862	18.94703	309	428	326	332	337	344	349	355	360	365	371	377	386	394	398
57	371.717	18.25870	322	444	337	344	349	356	361	366	370	376	381	387	395	403	409
58	380.735	19.23280	320	457	343	350	357	365	370	375	380	385	390	396	405	413	418
59	391.334	19.64715	332	466	352	359	366	375	381	386	390	396	401	408	417	424	430
60	400.259	20.04909	346	474	361	370	376	384	389	394	399	404	410	416	426	436	442
61	410.466	20.34657	356	490	370	378	386	392	400	405	410	415	420	427	437	445	451
62	421.85	19.77667	360	492	382	392	397	405	411	416	421	425	432	439	448	456	460
63	431.379	20.90738	373	517	391	399	405	415	421	426	430	435	441	448	459	466	473
64	440.986	20.87797	386	520	402	408	415	423	430	435	440	446	451	457	467	476	481
65	451.971	21.23561	392	520	410	419	427	435	440	446	451	456	462	469	480	490	497
66	461.961	21.68487	403	539	419	426	436	444	450	456	461	466	473	480	489	498	505
67	470.898	22.75960	409	556	429	436	443	451	458	464	469	476	482	489	500	512	518
68	480.772	22.06769	411	564	438	446	453	463	469	475	479	485	492	499	509	519	523
69	493.313	22.77625	424	587	447	456	464	475	483	487	492	499	504	512	522	531	537
70	504.341	24.70662	442	603	460	467	474	484	490	496	502	508	516	525	537	550	556
71	514.701	24.08015	447	600	467	477	486	494	501	508	513	519	525	535	548	556	562
72	524.393	24.64837	449	617	481	488	494	504	510	518	522	528	535	543	557	571	577
73	536.33	26.80073	461	642	485	494	503	513	522	529	536	542	548	557	571	582	589
74	545.873	24.64517	466	640	500	508	516	525	532	538	544	552	558	566	578	589	595
75	556.24	25.38556	495	637	507	514	523	535	543	549	555	561	568	578	590	600	605
76	566.181	24.98104	496	644	520	528	536	544	552	558	564	571	578	588	600	610	618
77	578.09	24.95044	513	658	531	540	547	557	565	570	576	583	590	599	611	622	630
78	589.266	26.88684	502	705	537	547	557	567	575	581	588	594	602	610	624	634	642
79	600.549	26.29344	534	692	553	560	567	578	586	592	599	606	613	623	636	645	653
80	611.004	28.75439	538	719	558	567	576	587	594	602	609	615	625	635	648	658	668
81	623.33	28.40112	541	732	571	581	588	600	607	615	622	629	637	645	660	674	680
82	633.079	27.93219	559	736	581	589	599	610	617	624	632	639	646	656	669	679	685
83	645.706	27.97435	567	742	593	602	609	622	631	637	645	651	659	668	681	695	704
84	655.69	29.14397	591	769	601	611	620	630	638	647	654	661	671	681	693	703	712
85	666.795	28.88046	572	789	613	623	631	643	651	657	664	672	680	689	706	718	724
86	677.876	29.1697	589	789	626	632	641	653	661	669	675	684	692	700	715	730	739
87	691.915	30.96221	613	826	632	644	653	665	674	683	690	698	707	718	733	745	752
88	700.784	30.1791	621	824	643	652	663	676	684	692	700	708	716	725	740	754	761
89	712.192	29.58981	618	820	653	664	673	687	697	705	712	719	727	737	751	760	766
90	723.711	31.47822	643	819	665	675	685	696	705	713	722	731	741	751	765	779	787
91	734.752	31.05029	625	855	674	687	696	708	717	725	734	742	749	761	776	788	794
