n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	3.308586	1.166429	0	4.6904	0	0	2.4495	2.4495	2.6458	3.3166	3.3166	4	4	4.4721	4.6904	4.6904	4.6904
5	5.613425	1.299635	0	8.2462	2.8284	3.4641	4	4.6904	5.099	5.4772	5.6569	6	6.3246	6.7823	7.0711	7.746	7.874
6	8.14959	1.727191	2.8284	12.6491	4.5826	5.2915	6	6.7082	7.2111	7.6158	8.1854	8.6023	9	9.6954	10.3923	10.8628	11.3578
7	10.96998	2.193713	2.8284	17.3781	6.4807	7.6158	8.2462	9.0554	9.798	10.2956	10.8628	11.4891	12.083	12.8062	13.8564	14.6287	15.0997
8	13.72327	2.582338	6.0828	22.6716	8.7178	9.6437	10.5357	11.7047	12.3288	12.9228	13.5277	14.2478	15.0333	15.9374	17.1172	18.0278	18.9209
9	16.9182	3.249475	7.0711	28.8097	10.6771	11.9164	13.0384	14.1421	15.0997	16	16.7929	17.5499	18.4932	19.4936	20.9762	22.5832	23.622
10	20.24914	3.663171	11.4455	35.7491	13.2665	14.3875	15.748	17.088	18.2483	19.105	20.0499	21	22.0454	23.2379	25.0599	26.4953	27.2029
11	23.73337	4.431102	12.6491	39.4968	15.4919	16.7332	18.1108	19.9499	21.2603	22.2261	23.4521	24.7386	26.1151	27.5318	29.3939	31.305	32.7414
12	27.23939	4.551448	15.5242	45.1331	19	20.025	21.6333	23.3238	24.7386	25.865	26.9629	28.0179	29.2916	30.8869	33.1964	35.242	36.4005
13	30.62463	5.334873	17.0294	50.319	20.9284	22.4054	23.9583	26.0384	27.4955	29.0517	30.1993	31.6228	33.1361	35.2136	37.7094	39.7744	41.9047
14	34.74596	5.674709	20.9762	53.7029	24.4949	26.1534	27.6043	29.8831	31.4006	32.8938	34.4674	35.9166	37.4299	39.37	42.391	44.6542	46.6476
