n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	1.41	0.9125419	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2
5	3.142905	1.064644	0	4	0	0	2.4495	2.4495	2.4495	3.7417	3.7417	3.7417	3.7417	3.7417	4	4	4
6	5.185496	1.114020	0	6.3246	2.8284	2.8284	4	4.1231	4.899	5	5.6569	5.7446	6	6	6.3246	6.3246	6.3246
7	7.341079	1.237774	0	9.1652	4.4721	4.899	5.6569	6.4807	6.9282	7.2111	7.4833	7.874	8.124	8.3666	8.6023	9.0554	9.0554
8	9.748184	1.366329	3.873	12.8062	6.3246	7.4162	7.9373	8.7178	9.1652	9.5394	9.9499	10.198	10.5357	10.9545	11.3137	11.6619	11.8322
9	12.41716	1.533799	6.1644	16.3707	9.0554	9.6954	10.4881	11.225	11.7473	12.083	12.4097	12.8062	13.1909	13.6382	14.4222	14.8324	15.0997
10	14.88489	1.789168	7.2801	19.2873	11.3137	11.8743	12.49	13.4536	14	14.3178	14.8661	15.3948	15.8745	16.3707	17.2047	17.7764	18.1384
11	17.83363	2.092898	11.1355	24.9399	13.6382	14.4222	15.0997	16.0624	16.7929	17.3205	17.7764	18.3303	18.9209	19.5448	20.5913	21.2603	21.6333
12	20.78592	2.463452	10.583	28.1247	15.5885	16.9411	17.7764	18.735	19.4936	20.1742	20.664	21.2368	21.8174	22.8692	24.0624	24.98	25.593
13	23.61067	2.664838	14.5602	32.4962	17.6068	19.2873	20.2978	21.4942	22.4054	22.9783	23.5797	24.1661	24.8596	25.807	26.9444	27.8927	29.0861
14	26.68918	2.951540	16.7631	37.47	21.2838	22.2036	23	24.0208	24.8998	25.7876	26.533	27.3496	28.2135	29.189	30.4795	31.6386	32.3728
15	29.71128	3.197774	21.166	39.975	23.3238	24.6171	25.6905	27.0185	27.9643	28.775	29.6648	30.3974	31.209	32.3419	33.9706	35.1568	36.0555
16	32.88393	3.441693	23.1517	46.422	26.7395	27.6405	28.5657	30	31.0322	31.8748	32.619	33.4515	34.2929	35.6651	37.2424	38.9872	40.4846
17	36.08511	3.641492	26.9815	49.4166	29.4279	30.5287	31.5911	33.0454	34.0294	34.8999	35.805	36.6606	37.8153	38.9872	40.8901	42.7317	43.4051
18	39.40322	3.981871	27.5862	54.074	32.249	33.3467	34.5977	35.9583	37.108	38.1051	39.1535	40.1995	41.1825	42.6263	44.4072	46.4758	47.7074
19	42.94287	4.260514	29.2916	58.0689	35.0143	36.4417	37.7359	39.3192	40.5463	41.6173	42.7083	43.6807	44.833	46.4758	48.6621	50.3984	51.8459
20	46.24956	4.653125	33.5112	65.9394	37.6298	39.2301	40.6448	42.0833	43.4856	44.6766	45.9891	47.0638	48.6621	50.3488	52.4214	54.3967	55.3534
21	49.77285	5.084866	37.9737	65.5286	40.1995	41.4729	43.3359	45.4313	46.8188	48.2908	49.679	50.9313	52.2685	53.8145	56.5155	58.8727	60.3324
22	53.2548	5.396066	38.8844	72.2842	42.8486	44.8665	46.5725	48.8672	50.2792	51.614	52.915	54.1572	55.6507	57.6541	59.9667	62.8649	65.123
23	56.57828	5.696428	42.4264	84.2615	46.669	47.9375	49.5782	51.5558	53.3292	54.7175	56.1961	57.5674	59.0424	61.1392	64.0781	66.4078	68.0147
24	60.49989	5.976122	45.4313	86.8792	49.2747	51.3809	52.9434	55.4887	56.9561	58.6089	60.1332	61.709	63.3719	65.3223	68.2276	70.9295	73.1505
25	63.85015	6.090731	48.949	95.2995	52.2494	54.8635	56.5509	58.7367	60.3324	61.7738	63.0714	64.6838	66.6783	69.2532	71.7217	74.5922	76.4461
26	67.75405	6.692819	50.6063	91.5423	56.0089	57.376	59.7076	62.2013	63.9453	65.6125	67.082	68.5565	70.6329	72.9726	77.0973	80.3306	82.0731
27	71.10835	6.856228	54.626	98.7522	59.0762	61.1555	62.6897	64.9307	66.888	68.7895	70.6965	72.5672	74.4715	76.6942	80.1499	83.0542	84.8764
28	74.79638	7.012732	55.5698	102.5037	61.7981	64.0937	65.9014	68.6731	70.739	72.856	74.6458	76.2365	77.9744	80.4487	83.9702	86.6949	88.7468
29	78.31098	7.362549	58.7537	105.5746	64.7148	67.3498	69.383	71.7496	74.1755	76.0789	77.8203	79.8123	81.4985	84.1427	87.9432	91.3564	92.887
30	82.29913	7.51309	62.6498	109.5856	68.5565	70.852	73.1847	75.6637	77.923	79.806	81.8841	83.8093	86.0465	88.775	92.0706	94.9158	97.1391
31	86.28762	8.625964	65.8179	120.4243	70.4131	73.3485	75.4718	78.8036	81.388	83.7019	86.0233	87.647	90.2552	92.8224	97.4885	101.5579	104.1633
32	90.6843	8.438021	71.2671	132.1476	75.9474	78.5111	80.7713	83.4985	85.8545	87.818	89.7998	92.1737	94.6731	97.4628	101.7448	105.9245	108.1434
33	94.3231	8.703235	73.5527	130.4531	78.0897	81.0925	83.654	87.0862	89.398	91.6733	93.488	95.9271	98.387	101.6858	106.0472	108.9862	111.3283
34	97.3547	9.155569	72.2842	130.4186	81.1727	83.863	86.3944	89.3532	92.0217	94.1488	96.7729	98.8534	101.4741	104.7664	109.8226	114.2672	116.9829
35	101.2853	9.370405	77.3434	139.8499	85.0999	87.2582	89.6437	93.2738	95.8228	98.3667	100.4789	102.898	105.6125	109.1329	114.0263	117.3797	119.591
36	105.8447	9.683252	83.6839	148.0811	88.227	90.7304	93.8509	97.1751	100.5584	103.2473	105.2378	107.5174	109.8863	113.5606	118.5411	123.5597	126.3764
37	109.9369	10.06962	84.5813	147.7972	92.2171	95.0894	97.4577	100.9059	103.9519	106.48	109.2795	112.1428	114.5251	118.1524	123.0203	128.1327	131.0343
38	113.6203	10.21929	90.4268	157.1242	94.7418	97.7804	101.1533	104.5371	107.759	110.526	113.0133	115.4816	118.4399	121.9344	126.7912	131.0458	134.8221
39	117.2213	10.81016	91.913	158.4298	99.1867	101.7546	104.2785	107.4709	110.8061	113.446	115.9655	119.0126	122.8576	126.3329	131.4078	136.1984	139.3054
40	121.1915	10.89735	94.0638	163.9878	101.7005	105.0095	107.9583	111.9107	114.6952	117.7455	120.362	123.0894	126.2062	129.6264	135.5544	140.3246	143.7359
41	125.2453	11.03215	97.0258	173.885	105.622	108.7474	111.6692	116.0431	119.105	121.7292	124.2819	126.7912	129.7074	134.1864	140.1571	144.7619	148.5867
42	128.9693	11.53894	100.7174	172.9075	108.0185	111.4495	115.0695	119.2015	122.1352	124.6154	128.082	131.5789	134.7628	138.7516	144.2394	148.7683	151.9605
43	133.8800	12.02663	100.2497	183.9946	111.696	115.3083	119.2309	123.6689	126.9252	130.1	133.0263	136.147	139.2121	143.6245	149.7999	154.5962	157.569
44	138.1657	12.30381	106.1697	192.229	115.7411	119.9	123.6891	127.7302	130.7326	133.8507	137.1824	140.2676	144.0521	148.6573	154.7353	158.893	162.1203
45	141.9984	12.90096	111.8571	202.0248	118.4652	122.8088	126.1586	130.9504	134.5065	137.8405	140.7835	144.5752	148.027	151.9671	159.2294	164.2681	167.4276
46	145.8509	13.01317	116.1766	202.7831	122.8698	126.7636	130.173	134.7887	138.5785	141.538	144.7239	148.2161	151.8321	156.0641	162.8281	168.3003	172.4065
47	150.4213	12.97376	117.5755	202.2177	127.7654	131.1564	135.3736	139.6352	142.8986	145.8629	149.0906	152.2235	156.0128	161.2576	167.2961	173.2051	178.2807
48	153.7621	13.22665	118.9075	206.2983	128.6546	133.6076	138.1304	142.8566	146.4104	149.3854	152.4598	156.2434	159.925	163.8414	171.6479	177.9101	180.9061
49	157.2115	13.63359	122.3029	210.2998	131.7725	136.5796	140.5347	145.506	149.7398	153.5057	156.269	159.8374	163.487	167.9762	174.797	179.6664	184.9054
50	163.0983	14.58879	119.8666	217.4879	137.8695	141.5662	145.5335	150.9603	154.8289	157.848	161.1738	165.4721	170.2146	175.3539	182.877	188.9233	193.982
51	167.1804	14.39503	131.6207	222.2206	142.1337	145.5404	150.1266	154.6609	158.8269	162.4685	165.5415	169.7999	173.7527	178.5833	185.7741	193.52	197.6057
52	170.7913	14.83930	134.592	237.2657	143.0489	148.1857	152.0789	158	162.071	166.2288	169.6437	173.2974	178.5917	183.7471	190.2209	196.1199	199.93
53	176.0064	15.40415	135.2923	247.4227	147.0442	152.0395	157.2132	162.8435	167.2244	171.441	174.591	178.8631	183.0628	188.2445	196.7333	202.3808	206.8768
54	179.0708	16.01084	138.3221	266.4958	149.7064	155.3222	158.871	165.9066	169.9441	174.0603	177.6879	181.6948	186.2042	191.6351	199.99	206.543	212.2923
55	183.5466	16.53490	137.9275	256.2069	152.8071	158.7136	163.2667	169.0325	173.8505	178.3704	182.3678	186.5476	191.2904	197.4234	205.8203	212.8568	215.5783
56	187.2129	16.63266	145.6434	247.3459	157.4802	161.9352	166.4061	172.7397	177.4796	182.1401	185.7525	190.0605	194.5251	200.2074	209.4373	217.844	221.3414
57	192.2162	15.97189	153.6424	245.7682	162.7268	168.4518	172.893	178.4096	182.5596	186.4779	190.7511	195.4789	200.05	206.0582	213.1854	217.9725	223.7365
58	195.8434	16.53592	154.4053	265.1962	166.4242	170.9269	175.7043	182.0577	186.2579	190.738	194.9769	198.1943	203.4232	208.866	218.0734	225.1311	230.2542
59	201.1746	16.98622	156.1986	266.3344	171.406	175.0885	179.6385	186.7619	191.3322	195.9184	200.04	204.2841	209.2415	215.1093	223.5442	231.5081	236.791
60	204.2716	17.45547	160.5241	271.483	173.2166	178.796	183.5974	189.5574	193.6672	198.1792	202.4154	206.9469	211.9222	218.4949	227.8223	235.9576	240.9876
