n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	0.705	0.4562710	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1
5	3.276	1.367367	0	5	0	0	2	2	2	4	4	4	4	4	5	5	5
6	9.875	2.96887	0	14	3	4	6	7	9	10	10	11	12	13	13	13	13
7	22.911	5.510667	0	31	10	12	16	19	21	22	24	26	26	28	29	30	30
8	46.328	8.933209	8	61	22	29	34	39	43	45	48	50	52	54	56	58	58
9	84.55	12.71823	32	106	50	60	68	74	80	84	87	90	93	95	98	101	102
10	139.097	18.90664	56	171	88	104	113	124	132	137	143	147	151	155	160	164	166
11	219.99	25.06795	116	267	160	172	186	200	209	218	224	230	236	242	249	255	258
12	331.483	34.40167	172	397	241	266	286	306	320	329	337	344	351	359	370	379	383
13	473.899	48.303	253	563	346	384	408	438	458	472	483	493	501	514	527	534	544
14	668.412	57.10235	401	775	524	564	593	626	644	662	677	690	704	716	735	747	754
15	906.547	74.14726	569	1054	720	760	805	851	879	901	918	937	951	969	990	1002	1012
16	1209.191	87.25158	818	1381	990	1045	1101	1138	1171	1201	1222	1239	1263	1285	1313	1332	1340
17	1584.21	110.6401	1042	1812	1319	1378	1431	1493	1542	1576	1603	1627	1653	1678	1712	1732	1744
18	2049.009	121.9893	1504	2316	1746	1827	1894	1960	2000	2036	2061	2091	2123	2152	2191	2218	2234
19	2588.204	157.0989	1647	2895	2179	2296	2390	2483	2530	2570	2612	2646	2684	2718	2760	2786	2816
20	3224.474	186.8704	2532	3614	2719	2874	2983	3079	3153	3204	3246	3290	3336	3385	3445	3484	3504
21	3986.682	213.3564	2991	4394	3454	3578	3697	3820	3898	3959	4016	4069	4120	4166	4242	4273	4305
22	4893.87	248.6891	3668	5430	4258	4422	4561	4705	4805	4873	4931	4976	5040	5103	5176	5234	5267
23	5897.176	294.5935	4743	6563	5153	5380	5511	5666	5786	5856	5934	6016	6085	6146	6233	6290	6324
24	7081.282	328.9575	5812	7793	6281	6430	6610	6833	6960	7056	7127	7200	7278	7358	7455	7523	7564
25	8440.153	384.7629	6483	9221	7502	7744	7954	8171	8299	8412	8495	8583	8665	8748	8861	8962	8990
26	9987.486	429.6152	8106	10932	8832	9181	9442	9673	9839	9964	10065	10159	10236	10328	10446	10542	10601
27	11706.45	465.5838	9392	12727	10552	10873	11080	11328	11514	11651	11768	11883	11991	12106	12247	12332	12422
28	13640.20	527.6908	11708	14649	12283	12682	12936	13209	13454	13592	13721	13826	13940	14076	14250	14383	14439
29	15856.49	579.5837	13190	17091	14331	14685	15093	15449	15620	15772	15934	16067	16208	16332	16528	16665	16724
30	18291.47	647.5061	15268	19742	16544	17138	17385	17806	18084	18216	18393	18519	18662	18818	19032	19181	19278
31	20922.42	786.5742	16819	22480	18889	19470	19918	20337	20600	20854	21042	21229	21397	21570	21811	21996	22077
32	23957.60	807.7171	18181	25498	21952	22539	22938	23357	23637	23857	24046	24214	24436	24647	24881	25065	25204
33	27350.02	858.3808	23511	29299	25085	25709	26179	26748	27068	27293	27479	27674	27835	28012	28286	28520	28630
34	30919.36	973.5864	25924	32862	28566	29159	29611	30173	30539	30815	31052	31279	31486	31744	32005	32257	32387
35	34900.76	1132.467	27708	37288	32157	32884	33349	34033	34473	34793	35055	35309	35558	35850	36193	36421	36526
36	39250.29	1216.734	33423	41845	36147	37002	37710	38328	38781	39107	39435	39692	39986	40235	40584	40880	41052
37	44045.77	1273.097	35506	46720	41105	41763	42409	43125	43570	43938	44203	44471	44796	45087	45458	45759	45932
38	49238.61	1389.439	43147	52084	45901	46664	47420	48109	48656	49118	49439	49784	50140	50439	50794	51116	51244
