n	avg	sd	min	max	0.02	0.05	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	0.95	0.97
4	2.694	1.134747	0	4	0	0	1	2	2	3	3	3	3	4	4	4	4
5	6.693	1.965863	0	10	2	3	4	5	6	6	7	7	8	8	9	9	10
6	13.378	3.288150	1	20	6	7	9	11	12	13	14	15	15	16	17	18	18
7	23.447	5.060316	4	35	10	14	16	20	22	23	24	25	26	28	29	30	31
8	36.999	7.36473	10	52	19	23	27	31	34	36	38	40	41	43	46	47	48
9	55.919	10.06667	13	77	29	37	43	49	52	55	57	59	62	64	67	69	71
10	80.161	12.59157	25	115	49	56	63	71	76	79	82	84	87	90	95	98	99
11	109.901	16.71277	50	147	68	80	86	96	103	108	112	116	120	124	129	133	136
12	147.203	20.17411	69	196	101	109	120	132	139	146	150	154	159	164	169	176	179
13	191.119	24.53003	76	247	128	146	161	173	182	189	194	199	205	211	219	225	230
14	242.988	28.91823	120	313	175	191	204	219	230	238	246	253	260	267	277	285	290
15	301.81	35.03814	175	382	214	236	253	275	288	298	308	315	323	331	341	349	355
16	373.117	40.04951	224	463	278	301	318	342	355	367	378	387	395	406	421	433	441
17	454.026	47.28098	242	565	338	368	391	417	434	446	459	469	479	493	512	524	534
18	546.708	54.96262	280	678	423	447	475	505	524	538	552	565	578	591	612	626	635
19	643.538	64.66602	384	796	480	522	557	593	619	639	654	667	681	697	717	735	744
20	764.426	68.45162	493	930	590	636	678	714	741	756	772	784	798	819	844	866	880
21	887.973	80.64492	532	1136	687	738	782	831	856	877	898	916	934	954	981	1002	1013
22	1026.032	93.15032	636	1270	805	863	895	954	986	1013	1036	1056	1076	1101	1139	1168	1181
23	1181.87	103.6613	774	1444	911	978	1047	1106	1144	1171	1197	1218	1240	1262	1304	1332	1351
24	1348.904	109.3656	918	1643	1092	1154	1208	1262	1296	1330	1360	1386	1408	1440	1480	1512	1535
25	1535.897	127.2897	1092	1880	1235	1299	1364	1431	1480	1519	1548	1577	1606	1642	1693	1719	1743
26	1736.917	139.1230	1225	2145	1420	1486	1553	1626	1675	1712	1749	1789	1819	1856	1900	1937	1958
27	1947.022	154.2246	1264	2318	1589	1669	1734	1823	1880	1922	1959	1998	2034	2078	2131	2171	2199
28	2174.324	168.9551	1476	2568	1759	1861	1951	2042	2111	2161	2196	2234	2269	2312	2366	2411	2450
29	2428.431	185.5015	1591	2920	1975	2071	2173	2290	2358	2411	2456	2493	2533	2576	2641	2683	2708
30	2706.902	188.8233	2045	3232	2279	2366	2457	2553	2620	2676	2722	2764	2810	2867	2943	2991	3021
31	2998.918	224.8468	2092	3647	2471	2590	2703	2820	2906	2964	3019	3072	3118	3175	3271	3340	3381
32	3310.385	224.1708	2193	3946	2786	2910	3021	3142	3222	3273	3325	3377	3422	3486	3586	3650	3701
33	3648.854	255.6750	2660	4358	3078	3203	3307	3443	3546	3614	3673	3722	3785	3863	3950	4036	4072
34	3999.826	278.1233	2856	4742	3334	3492	3621	3806	3897	3960	4023	4081	4136	4218	4326	4418	4479
35	4347.895	277.66	3207	5088	3685	3889	3993	4123	4226	4302	4370	4435	4495	4570	4684	4760	4822
36	4767.521	304.3962	3669	5597	4025	4203	4368	4528	4637	4729	4802	4857	4933	5016	5143	5208	5247
37	5184.405	325.3420	3978	6138	4403	4592	4770	4915	5040	5134	5222	5287	5359	5448	5567	5672	5745
38	5616.108	378.215	3926	6620	4698	4964	5125	5338	5457	5555	5643	5731	5812	5910	6062	6209	6264
39	6115.784	390.3836	4445	7141	5149	5421	5607	5823	5955	6048	6134	6225	6332	6425	6600	6721	6785
40	6584.98	412.6346	4988	7628	5563	5878	6051	6266	6410	6514	6619	6710	6816	6919	7083	7185	7306
41	7112.61	440.1317	5357	8260	6138	6348	6503	6774	6914	7044	7148	7241	7353	7474	7636	7774	7887
42	7644.428	454.1153	6120	9002	6586	6852	7055	7279	7434	7568	7662	7773	7894	8014	8199	8354	8441
43	8232.601	499.5374	6016	9634	7087	7329	7540	7830	8002	8148	8277	8403	8522	8639	8823	8984	9038
44	8827.78	503.5707	7116	10372	7691	7950	8150	8415	8595	8739	8862	8973	9095	9245	9448	9601	9706
45	9466.749	568.4807	6810	11052	8120	8507	8748	9024	9214	9362	9490	9638	9768	9929	10192	10339	10456
46	10145.95	576.7976	7770	11761	8818	9190	9376	9676	9903	10055	10172	10304	10465	10608	10851	11052	11188
47	10799.46	590.529	8745	12494	9541	9788	9999	10287	10515	10686	10836	10991	11137	11314	11503	11692	11835
48	11556.62	677.7858	9014	13507	9982	10358	10667	10996	11258	11438	11604	11768	11932	12114	12387	12569	12701
49	12272.24	660.3251	10180	14338	10690	11107	11374	11744	11985	12157	12313	12464	12647	12819	13075	13319	13408
50	13055.60	721.5783	10572	15231	11414	11740	12104	12482	12724	12924	13122	13277	13456	13650	13937	14163	14315
51	13890.56	771.4291	10708	16266	12197	12563	12795	13221	13529	13785	13958	14142	14317	14538	14841	15045	15187
52	14729.89	773.3359	11947	16945	12995	13365	13676	14103	14378	14595	14796	14950	15160	15370	15682	15887	16018
53	15600.27	804.16	12668	17568	13650	14103	14493	14940	15264	15535	15718	15858	16029	16254	16575	16766	16934
54	16520.35	880.376	13509	19483	14478	14922	15331	15835	16108	16355	16579	16786	16995	17247	17575	17888	18051
55	17476.45	893.252	14260	19791	15541	15859	16298	16723	17016	17295	17539	17761	17975	18266	18593	18858	19008
56	18479.56	938.4593	15069	21127	16463	16780	17201	17702	18045	18332	18565	18755	18976	19287	19657	19892	20126
57	19506.15	984.8924	16300	22538	17288	17803	18245	18701	19059	19310	19552	19769	20008	20308	20757	21086	21301
58	20603.66	1066.512	15514	23480	18083	18750	19223	19831	20127	20426	20689	20928	21195	21481	21877	22222	22383
59	21653.84	1110.394	16832	25319	19046	19754	20162	20827	21184	21458	21731	21969	22208	22535	23041	23402	23553
60	22795.00	1113.713	18431	26184	20209	20863	21422	21951	22266	22592	22874	23125	23383	23676	24147	24546	24814
61	24006.66	1172.532	20239	27182	21564	21934	22336	23057	23448	23746	24051	24332	24614	25019	25455	25836	26137
62	25216.96	1238.947	19309	28622	22283	22985	23569	24312	24711	25018	25313	25556	25832	26255	26684	27127	27299
63	26488.59	1207.155	21584	30296	23783	24388	24903	25533	25927	26262	26539	26846	27110	27509	27998	28300	28551
64	27831.63	1325.661	21937	31153	24911	25568	26061	26717	27248	27596	27963	28245	28584	28956	29385	29863	30131
65	29144.45	1352.279	23441	33710	26028	26819	27410	28110	28530	28911	29204	29507	29827	30235	30793	31215	31559
66	30470.82	1448.080	25532	34521	27148	27942	28556	29297	29795	30164	30556	30900	31269	31713	32223	32678	32958
67	31999.41	1464.05	25559	36075	28696	29439	30137	30804	31325	31781	32064	32467	32823	33199	33760	34220	34531
68	33432.3	1498.307	27454	37464	30143	30811	31361	32189	32781	33167	33486	33908	34288	34718	35264	35800	36079
69	34978.32	1603.585	28503	40746	31136	32109	32927	33760	34207	34704	35047	35431	35860	36322	36951	37448	37656
70	36408.71	1633.749	31411	40145	32727	33559	34144	34959	35675	36151	36571	36947	37323	37843	38471	38860	39115
71	38069.8	1705.486	29898	44732	34434	35182	35830	36696	37282	37785	38137	38542	38922	39435	40172	40779	41295
72	39852.57	1737.449	33743	44541	35652	36614	37589	38434	39101	39623	40008	40376	40732	41215	41960	42552	42856
73	41481.42	1880.782	34346	46836	37113	38221	39011	39953	40677	41167	41631	42049	42468	43043	43782	44473	44777
74	43235.68	1857.419	36929	48164	38992	39925	40746	41753	42406	42879	43407	43800	44171	44697	45520	46132	46632
75	45113.77	1921.834	38552	50774	40860	41703	42605	43465	44155	44657	45327	45761	46202	46747	47444	47954	48282
76	46840.22	1984.525	37811	52032	42096	43367	44275	45397	46061	46539	46919	47405	47789	48403	49292	49919	50339
77	48864.84	2172.019	38661	55693	43800	44794	46023	47200	47933	48484	49051	49577	50012	50598	51456	52077	52389
78	50780.82	2220.543	42503	57406	46007	47013	47883	48978	49692	50326	50860	51391	51982	52593	53516	54320	54768
79	52589.79	2193.512	44363	59564	47672	48808	49665	50797	51534	52219	52734	53270	53785	54392	55246	55984	56500
80	54858.6	2258.484	46416	60303	49794	51015	51890	53075	53776	54470	54987	55501	56093	56718	57698	58363	58679
81	56934.67	2371.801	46927	63161	51566	52770	53769	54957	55873	56496	57095	57628	58164	58806	59951	60708	61228
82	59033.68	2443.217	49858	67503	53799	54750	55977	57053	57822	58471	59073	59640	60271	61064	62107	63123	63494
83	61240.86	2448.105	52518	69386	55879	57105	58102	59287	60105	60726	61294	61876	62551	63297	64282	65164	65827
84	63438.62	2600.929	53817	69334	58060	58830	59786	61278	62235	62987	63642	64126	64850	65618	66716	67531	68082
85	65845.47	2688.411	54874	73425	59744	61025	62197	63723	64741	65373	66018	66743	67372	68034	68983	69857	70541
86	68214.24	2816.858	58622	75978	62030	63225	64639	65875	66719	67604	68338	69051	69808	70508	71708	72647	73286
87	70780.46	2791.603	58834	79119	64569	65797	67108	68571	69539	70318	71009	71548	72208	73096	74245	75090	75507
88	73117.73	3041.737	61834	81562	66178	67699	69195	70750	71791	72600	73215	73996	74710	75706	76854	77786	78435
89	75826.38	2963.727	66127	84336	69001	70855	71906	73424	74341	75123	75864	76639	77472	78389	79668	80401	80954
90	78195.53	3082.106	68107	86718	70731	72684	74186	75666	76835	77711	78454	79166	79887	80706	82028	82839	83445
91	81069.27	3213.421	69767	92413	73556	75444	76724	78442	79579	80525	81308	82019	82838	83797	84812	85979	86578
92	83681.54	3184.084	73189	93758	76142	78141	79489	81129	82229	83104	83867	84596	85312	86326	87676	88471	89192
93	86563.65	3414.56	73944	97433	79026	80609	82162	83888	85007	85860	86690	87548	88451	89367	90719	91807	92571
94	89558.54	3366.342	78185	99944	82028	83527	85170	86917	88002	88856	89721	90425	91146	92337	93769	95056	95674
95	92178.9	3538.666	77632	104188	84047	86016	87645	89432	90694	91504	92431	93176	93921	95021	96293	97538	98262
96	95090.68	3546.309	82331	105521	86712	88624	90552	92188	93447	94469	95307	96102	97062	98086	99371	100414	101000
97	98515.3	3759.569	84752	109564	90219	91924	93663	95321	96647	97662	98687	99654	100764	101727	103162	104283	105031
98	101310.4	3756.678	89190	112848	93390	94936	96366	98064	99456	100571	101462	102415	103296	104463	105960	107129	107909
99	104546.7	3921.373	86998	118295	95939	98015	99177	101281	102789	103882	104820	105639	106512	107829	109360	110644	111523
100	107866.1	4055.641	92424	119615	98585	100841	102484	104659	106048	107118	108196	109000	109996	111348	112746	113819	114492
101	110762.7	4114.975	94026	122782	101309	103750	105501	107486	108989	109985	110809	111800	112746	113987	115987	117371	118319
102	114459.3	4398.555	97121	126210	104015	107033	108990	110847	112322	113576	114997	115872	116968	118090	119702	120726	121785
103	117762.3	4382.3	100464	130235	107603	109871	112111	114576	115685	117041	118030	119035	119971	121242	122930	124774	125574
104	121433.2	4285.079	106074	133613	112528	114476	116002	117712	119189	120452	121444	122458	123829	124988	126939	128390	129477
105	125077.8	4398.647	105550	139472	115010	117698	119458	121568	123040	124135	125249	126237	127328	128712	130357	132109	132852
106	128583.9	4644.173	111135	143104	118338	120618	122456	124788	126527	127832	128870	129846	130944	132475	134402	135647	136560
107	132446.5	4682.522	116027	147011	121864	124112	126258	128567	130382	131536	132769	133760	135083	136192	138269	139677	141162
108	136064.0	5049.904	119331	149915	124166	126586	129428	131895	133853	135242	136414	137717	138966	140275	141982	143679	144468
109	140006.5	5000.182	118260	154710	129029	131340	133363	136071	138009	139185	140251	141408	142548	144082	145895	148167	149266
110	143888.8	5139.718	117182	162263	132307	134738	137458	139819	141427	142721	144145	145444	146603	147998	150008	151811	152910
111	147749.0	5131.399	124372	161772	135956	138781	141225	143778	145619	146950	148065	149218	150429	151765	154070	155587	156526
112	152161.2	5166.103	131104	166608	141037	143497	145054	147837	149777	151352	152493	153605	154880	156452	158274	160580	161480
113	156218.1	5331.18	136539	171808	144139	146943	149474	152038	153668	155220	156574	157632	158953	160494	162961	164551	165914
114	160302.2	5676.442	137310	174890	147130	149674	153087	155860	157919	159291	160709	162038	163437	165102	166992	169125	170137
115	164585.8	5909.922	134881	180687	151717	154343	156428	159830	161837	163363	165055	166475	167841	169578	171846	173650	174560
116	169068.0	5817.22	148937	186910	156176	159359	161561	163867	166165	167743	169360	170947	172215	173947	176132	178075	179475
117	173044.5	6074.125	147701	197959	159501	162804	165583	168225	170018	171670	173345	174543	176026	177875	180823	182883	184041
118	178230.5	6024.333	154064	198922	164747	167840	170798	173441	175398	176856	178371	179949	181533	183405	185640	187472	188584
119	182638.5	6161.905	160591	203628	169201	171802	174450	177594	179551	181597	182991	184193	185963	187896	190072	192186	193525
